,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,context_cat,answer_pos_cat,answer_start_cat
62539,57268606708984140094c8d7,Data_compression,"Latency results from the methods used to encode and decode the data. Some codecs will analyze a longer segment of the data to optimize efficiency, and then code it in a manner that requires a larger segment of data at one time to decode. (Often codecs create segments called a ""frame"" to create discrete data segments for encoding and decoding.) The inherent latency of the coding algorithm can be critical; for example, when there is a two-way transmission of data, such as with a telephone conversation, significant delays may seriously degrade the perceived quality.","What creates segments called a ""frame""?","{'text': array(['codecs'], dtype=object), 'answer_start': array([245], dtype=int32)}",569,codecs,245,0.4305799648506151,"(0, 600]","[0.25, 0.5)","[150, 400)"
106666,5a5686d86349e2001acdcdfe,Compact_disc,"Compact Disc + Graphics is a special audio compact disc that contains graphics data in addition to the audio data on the disc. The disc can be played on a regular audio CD player, but when played on a special CD+G player, it can output a graphics signal (typically, the CD+G player is hooked up to a television set or a computer monitor); these graphics are almost exclusively used to display lyrics on a television set for karaoke performers to sing along with. The CD+G format takes advantage of the channels R through W. These six bits store the graphics information.",Why can a CD+G not play on an audio CD player?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",570,,-1,-0.0017543859649122807,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
107324,572f96ce947a6a140053ca8e,Modern_history,"After World War II, Europe was informally split into Western and Soviet spheres of influence. Western Europe later aligned as the North Atlantic Treaty Organization (NATO) and Eastern Europe as the Warsaw Pact. There was a shift in power from Western Europe and the British Empire to the two new superpowers, the United States and the Soviet Union. These two rivals would later face off in the Cold War. In Asia, the defeat of Japan led to its democratization. China's civil war continued through and after the war, resulting eventually in the establishment of the People's Republic of China. The former colonies of the European powers began their road to independence.",What was Europe split into after World War II?,"{'text': array(['Western and Soviet spheres of influence.'], dtype=object), 'answer_start': array([53], dtype=int32)}",669,Western and Soviet spheres of influence.,53,0.07922272047832586,"(600, 700]","[0.0, 0.25)","[0, 150)"
29515,5706318d52bb89140068995b,"Atlantic_City,_New_Jersey","Owing to economic conditions and the late 2000s recession, many of the proposed mega casinos never went further than the initial planning stages. One of these developers was Pinnacle Entertainment, who purchased the Sands Atlantic City, only to close it permanently November 11, 2006. The following year, the resort was demolished in a dramatic, Las Vegas styled implosion, the first of its kind in Atlantic City. While Pinnacle Entertainment intended to replace it with a $1.5–2 billion casino resort, the company canceled its construction plans and plans to sell the land. The biggest disappointment was when MGM Resorts International announced that it would pull out of all development for Atlantic City, effectively ending their plans for the MGM Grand Atlantic City.",What happened to the Sands Atlantic City a year after it closed?,"{'text': array(['demolished in a dramatic, Las Vegas styled implosion'],
      dtype=object), 'answer_start': array([320], dtype=int32)}",771,"demolished in a dramatic, Las Vegas styled implosion",320,0.4150453955901427,"(700, 1000]","[0.25, 0.5)","[150, 400)"
33329,570a69376d058f1900182e34,Beer,"Beer ranges from less than 3% alcohol by volume (abv) to around 14% abv, though this strength can be increased to around 20% by re-pitching with champagne yeast, and to 55% abv by the freeze-distilling process. The alcohol content of beer varies by local practice or beer style. The pale lagers that most consumers are familiar with fall in the range of 4–6%, with a typical abv of 5%. The customary strength of British ales is quite low, with many session beers being around 4% abv. Some beers, such as table beer are of such low alcohol content (1%–4%) that they are served instead of soft drinks in some schools.",What percentage of alcohol by volume does beer achieve when it is re-pitched with champagne yeast?,"{'text': array(['around 20%'], dtype=object), 'answer_start': array([114], dtype=int32)}",615,around 20%,114,0.18536585365853658,"(600, 700]","[0.0, 0.25)","[0, 150)"
52521,5ad186e4645df0001a2d1ea2,Incandescent_light_bulb,"Incandescent bulbs have been replaced in many applications by other types of electric light, such as fluorescent lamps, compact fluorescent lamps (CFL), cold cathode fluorescent lamps (CCFL), high-intensity discharge lamps, and light-emitting diode lamps (LED). Some jurisdictions, such as the European Union, China, Canada and United States, are in the process of phasing out the use of incandescent light bulbs while others, including Colombia, Mexico, Cuba, Argentina, Brazil and Australia, have prohibited them already.",What does the acronym CFL not refer to?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",523,,-1,-0.0019120458891013384,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
115676,5ad49c1fba00c4001a268d91,Windows_8,"Backup and Restore, the backup component of Windows, is deprecated. It still ships with Windows 8 and continues to work on preset schedules, but is pushed to the background and can only be accessed through a Control Panel applet called ""Windows 7 File Recovery"".:76 Shadow Copy, a component of Windows Explorer that once saved previous versions of changed files, no longer protects local files and folders. It can only access previous versions of shared files stored on a Windows Server computer.:74 The subsystem on which these components worked, however, is still available for other software to use.:74",What backup element is still found on Windows 9?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",605,,-1,-0.001652892561983471,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
121728,5731f24bb9d445190005e6d6,Religion_in_ancient_Rome,"The efforts of military commanders to channel the divine will were on occasion less successful. In the early days of Rome's war against Carthage, the commander Publius Claudius Pulcher (consul 249 BC) launched a sea campaign ""though the sacred chickens would not eat when he took the auspices."" In defiance of the omen, he threw them into the sea, ""saying that they might drink, since they would not eat. He was defeated, and on being bidden by the senate to appoint a dictator, he appointed his messenger Glycias, as if again making a jest of his country's peril."" His impiety not only lost the battle but ruined his career.",How did Publius fare in his battle?,"{'text': array(['defeated'], dtype=object), 'answer_start': array([412], dtype=int32)}",625,defeated,412,0.6592,"(600, 700]","[0.5, 1.5)","[400, 5000)"
64449,57277f065951b619008f8b59,"Ann_Arbor,_Michigan","Several annual events—many of them centered on performing and visual arts—draw visitors to Ann Arbor. One such event is the Ann Arbor Art Fairs, a set of four concurrent juried fairs held on downtown streets. Scheduled on Wednesday through Saturday of the third week of July, the fairs draw upward of half a million visitors. Another is the Ann Arbor Film Festival, held during the third week of March, which receives more than 2,500 submissions annually from more than 40 countries and serves as one of a handful of Academy Award–qualifying festivals in the United States.",How many submissions does the Ann arbor film festival receive?,"{'text': array(['2,500'], dtype=object), 'answer_start': array([428], dtype=int32)}",573,"2,500",428,0.7469458987783595,"(0, 600]","[0.5, 1.5)","[400, 5000)"
36480,570b31feec8fbc190045b8e3,Xbox_360,"Music, photos and videos can be played from standard USB mass storage devices, Xbox 360 proprietary storage devices (such as memory cards or Xbox 360 hard drives), and servers or computers with Windows Media Center or Windows XP with Service pack 2 or higher within the local-area network in streaming mode. As the Xbox 360 uses a modified version of the UPnP AV protocol, some alternative UPnP servers such as uShare (part of the GeeXboX project) and MythTV can also stream media to the Xbox 360, allowing for similar functionality from non-Windows servers. This is possible with video files up to HD-resolution and with several codecs (MPEG-2, MPEG-4, WMV) and container formats (WMV, MOV, TS).",What video formats are supported for UPnP streaming?,"{'text': array(['WMV, MOV, TS'], dtype=object), 'answer_start': array([682], dtype=int32)}",696,"WMV, MOV, TS",682,0.9798850574712644,"(600, 700]","[0.5, 1.5)","[400, 5000)"
20906,5ad2745dd7d075001a4294e2,Dialect,"Modern standard Italian itself is heavily based on the Latin-derived Florentine Tuscan language. The Tuscan-based language that would eventually become modern standard Italian had been used in poetry and literature since at least the 12th century, and it first became widely known in Italy through the works of authors such as Dante Alighieri, Giovanni Boccaccio, Niccolò Machiavelli, and Petrarch. Dante's Florentine-Tuscan literary Italian thus became the language of the literate and upper class in Italy, and it spread throughout the peninsula as the lingua franca among the Italian educated class as well as Italian traveling merchants. The economic prowess and cultural and artistic importance of Tuscany in the Late Middle Ages and the Renaissance further encouraged the diffusion of the Florentine-Tuscan Italian throughout Italy and among the educated and powerful, though local and regional languages remained the main languages of the common people.",Since when has Petrarch been used in poetry and literature? ,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",960,,-1,-0.0010416666666666667,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
114766,5730956e396df919000961c3,Alfred_North_Whitehead,"Perhaps foremost among what Whitehead considered faulty metaphysical assumptions was the Cartesian idea that reality is fundamentally constructed of bits of matter that exist totally independently of one another, which he rejected in favor of an event-based or ""process"" ontology in which events are primary and are fundamentally interrelated and dependent on one another. He also argued that the most basic elements of reality can all be regarded as experiential, indeed that everything is constituted by its experience. He used the term ""experience"" very broadly, so that even inanimate processes such as electron collisions are said to manifest some degree of experience. In this, he went against Descartes' separation of two different kinds of real existence, either exclusively material or else exclusively mental. Whitehead referred to his metaphysical system as ""philosophy of organism"", but it would become known more widely as ""process philosophy.""",Whitehead rejected the Cartesian idea in favor of what?,"{'text': array(['an event-based or ""process"" ontology'], dtype=object), 'answer_start': array([243], dtype=int32)}",957,"an event-based or ""process"" ontology",243,0.25391849529780564,"(700, 1000]","[0.25, 0.5)","[150, 400)"
107831,57301ea7947a6a140053d13b,Antenna_(radio),"According to reciprocity, the efficiency of an antenna used as a receiving antenna is identical to the efficiency as defined above. The power that an antenna will deliver to a receiver (with a proper impedance match) is reduced by the same amount. In some receiving applications, the very inefficient antennas may have little impact on performance. At low frequencies, for example, atmospheric or man-made noise can mask antenna inefficiency. For example, CCIR Rep. 258-3 indicates man-made noise in a residential setting at 40 MHz is about 28 dB above the thermal noise floor. Consequently, an antenna with a 20 dB loss (due to inefficiency) would have little impact on system noise performance. The loss within the antenna will affect the intended signal and the noise/interference identically, leading to no reduction in signal to noise ratio (SNR).",At lesser frequencies what can account for incorrect assumptions about efficiency?,"{'text': array(['man-made noise'], dtype=object), 'answer_start': array([397], dtype=int32)}",852,man-made noise,397,0.465962441314554,"(700, 1000]","[0.25, 0.5)","[150, 400)"
27523,56faed40f34c681400b0c1b4,Somalis,"Somali architecture is a rich and diverse tradition of engineering and designing. It involves multiple different construction types, such as stone cities, castles, citadels, fortresses, mosques, mausoleums, towers, tombs, tumuli, cairns, megaliths, menhirs, stelae, dolmens, stone circles, monuments, temples, enclosures, cisterns, aqueducts, and lighthouses. Spanning the ancient, medieval and early modern periods in Greater Somalia, it also includes the fusion of Somalo-Islamic architecture with Western designs in contemporary times.","Along with the early modern and ancient, during what period did Somali architecture exist?","{'text': array(['medieval'], dtype=object), 'answer_start': array([382], dtype=int32)}",538,medieval,382,0.7100371747211895,"(0, 600]","[0.5, 1.5)","[150, 400)"
70280,5ad428f1604f3c001a400922,Bermuda,"There are four hundred securities listed on the stock exchange, of which almost three hundred are offshore funds and alternative investment structures attracted by Bermuda's regulatory environment. The Exchange specialises in listing and trading of capital market instruments such as equities, debt issues, funds (including hedge fund structures) and depository receipt programmes. The BSX is a full member of the World Federation of Exchanges and is located in an OECD member nation. It also has Approved Stock Exchange status under Australia's Foreign Investment Fund (FIF) taxation rules and Designated Investment Exchange status by the UK's Financial Services Authority.",What is the BXS a full member of?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",674,,-1,-0.001483679525222552,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
119699,5731388f497a881900248c7f,Qing_dynasty,"Faced with the stripping of their powers, Wu Sangui, later joined by Geng Zhongming and by Shang Kexi's son Shang Zhixin, felt they had no choice but to revolt. The ensuing Revolt of the Three Feudatories lasted for eight years. Wu attempted, ultimately in vain, to fire the embers of south China Ming loyalty by restoring Ming customs, ordering that the resented queues be cut, and declaring himself emperor of a new dynasty. At the peak of the rebels' fortunes, they extended their control as far north as the Yangtze River, nearly establishing a divided China. Wu then hesitated to go further north, not being able to coordinate strategy with his allies, and Kangxi was able to unify his forces for a counterattack led by a new generation of Manchu generals. By 1681, the Qing government had established control over a ravaged southern China which took several decades to recover. Manchu Generals and Bannermen were initially put to shame by the better performance of the Han Chinese Green Standard Army, who fought better than them against the rebels and this was noted by Kangxi, leading him to task Generals Sun Sike, Wang Jinbao, and Zhao Liangdong to lead Green Standard Soldiers to crush the rebels. The Qing thought that Han Chinese were superior at battling other Han people and so used the Green Standard Army as the dominant and majority army in crushing the rebels instead of Bannermen. Similarly, in northwestern China against Wang Fuchen, the Qing used Han Chinese Green Standard Army soldiers and Han Chinese Generals such as Zhang Liangdong, Wang Jinbao, and Zhang Yong as the primary military forces. This choice was due to the rocky terrain, which favoured infantry troops over cavalry, to the desire to keep Bannermen in the reserves, and, again, to the belief that Han troops were better at fighting other Han people. These Han generals achieved victory over the rebels. Also due to the mountainous terrain, Sichuan and southern Shaanxi were also retaken by the Han Chinese Green Standard Army under Wang Jinbao and Zhao Liangdong in 1680, with Manchus only participating in dealing with logistics and provisions. 400,000 Green Standard Army soldiers and 150,000 Bannermen served on the Qing side during the war. 213 Han Chinese Banner companies, and 527 companies of Mongol and Manchu Banners were mobilized by the Qing during the revolt. 400,000 Green Standard Army soldiers were used against the Three Feudatories besides 200,000 Bannermen.",How many Green Standard Army soldiers  were on the Qing side?,"{'text': array(['400,000'], dtype=object), 'answer_start': array([2136], dtype=int32)}",2465,"400,000",2136,0.8665314401622718,"(1000, 5000]","[0.5, 1.5)","[400, 5000)"
77261,5727f6c94b864d19001640bc,Gramophone_record,"It was not unusual for electric recordings to be played back on acoustic phonographs. The Victor Orthophonic phonograph was a prime example where such playback was expected. In the Orthophonic, which benefited from telephone research, the mechanical pickup head was redesigned with lower resonance than the traditional mica type. Also, a folded horn with an exponential taper was constructed inside the cabinet to provide better impedance matching to the air. As a result, playback of an Orthophonic record sounded like it was coming from a radio.",What is one example of an acoustic phonograph on which one would listen to electric recordings?,"{'text': array(['Victor Orthophonic phonograph'], dtype=object), 'answer_start': array([90], dtype=int32)}",547,Victor Orthophonic phonograph,90,0.16453382084095064,"(0, 600]","[0.0, 0.25)","[0, 150)"
51502,5725e2ad38643c19005ace2d,Montevideo,"The process of founding the country's public university began on 11 June 1833 with the passage of a law proposed by Senator Dámaso Antonio Larrañaga. It called for the creation of nine academic departments; the President of the Republic would pass a decree formally creating the departments once the majority of them were in operation. In 1836, the House of General Studies was formed, housing the departments of Latin, philosophy, mathematics, theology and jurisprudence. On 27 May 1838, Manuel Oribe passed a decree establishing the Greater University of the Republic. That decree had few practical effects, given the institutional instability of the Oriental Republic of the Uruguay at that time.",When did the process of funding the country's public university begin?,"{'text': array(['11 June 1833'], dtype=object), 'answer_start': array([65], dtype=int32)}",699,11 June 1833,65,0.09298998569384835,"(600, 700]","[0.0, 0.25)","[0, 150)"
81412,5727cb242ca10214002d9667,Sahara,"The central part of the Sahara is hyperarid, with little to no vegetation. The northern and southern reaches of the desert, along with the highlands, have areas of sparse grassland and desert shrub, with trees and taller shrubs in wadis where moisture collects. In the central, hyperarid part, there are many subdivisions of the great desert such as the Tanezrouft, the Ténéré, the Libyan Desert, the Eastern Desert, the Nubian Desert and others. These absolute desert regions are characterized by their extreme aridity, and some years can pass without any rainfall.",What does the Sahara have little to none of?,"{'text': array(['The northern and southern reaches of the desert'], dtype=object), 'answer_start': array([75], dtype=int32)}",566,The northern and southern reaches of the desert,75,0.13250883392226148,"(0, 600]","[0.0, 0.25)","[0, 150)"
97546,572a7aff34ae481900deab39,Madrasa,"As Muslim institutions of higher learning, the madrasa had the legal designation of waqf. In central and eastern Islamic lands, the view that the madrasa, as a charitable endowment, will remain under the control of the donor (and their descendent), resulted in a ""spurt"" of establishment of madaris in the 11th and 12th centuries. However, in Western Islamic lands, where the Maliki views prohibited donors from controlling their endowment, madaris were not as popular. Unlike the corporate designation of Western institutions of higher learning, the waqf designation seemed to have led to the exclusion of non-orthodox religious subjects such a philosophy and natural science from the curricula. The madrasa of al-Qarawīyīn, one of the two surviving madaris that predate the founding of the earliest medieval universities and are thus claimed to be the ""first universities"" by some authors, has acquired official university status as late as 1947. The other, al-Azhar, did acquire this status in name and essence only in the course of numerous reforms during the 19th and 20th century, notably the one of 1961 which introduced non-religious subjects to its curriculum, such as economics, engineering, medicine, and agriculture. It should also be noted that many medieval universities were run for centuries as Christian cathedral schools or monastic schools prior to their formal establishment as universitas scholarium; evidence of these immediate forerunners of the university dates back to the 6th century AD, thus well preceding the earliest madaris. George Makdisi, who has published most extensively on the topic concludes in his comparison between the two institutions:",When did more madaris begin to form more rapidly?,"{'text': array(['11th and 12th centuries'], dtype=object), 'answer_start': array([306], dtype=int32)}",1677,11th and 12th centuries,306,0.18246869409660108,"(1000, 5000]","[0.0, 0.25)","[150, 400)"
14900,5acf8d6477cf76001a68520a,Comics,"Gag and editorial cartoons usually consist of a single panel, often incorporating a caption or speech balloon. Definitions of comics which emphasize sequence usually exclude gag, editorial, and other single-panel cartoons; they can be included in definitions that emphasize the combination of word and image. Gag cartoons first began to proliferate in broadsheets published in Europe in the 18th and 19th centuries, and the term ""cartoon""[h] was first used to describe them in 1843 in the British humour magazine Punch.",Where did gag cartoons last make an appearance?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",519,,-1,-0.0019267822736030828,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
113374,573005ae947a6a140053cf61,Iran,"The 10th century saw a mass migration of Turkic tribes from Central Asia into the Iranian plateau. Turkic tribesmen were first used in the Abbasid army as mamluks (slave-warriors), replacing Iranian and Arab elements within the army. As a result, the mamluks gained a significant political power. In 999, large portions of Iran came briefly under the rule of the Ghaznavids, whose rulers were of mamluk Turk origin, and longer subsequently under the Turkish Seljuk and Khwarezmian empires. These Turks had been Persianized and had adopted Persian models of administration and rulership. The Seljuks subsequently gave rise to the Sultanate of Rum in Anatolia, while taking their thoroughly Persianized identity with them. The result of the adoption and patronage of Persian culture by Turkish rulers was the development of a distinct Turko-Persian tradition.",Where did these Turkic tribes come from before the migrated into Iran in the 10th Century?,"{'text': array(['Central Asia'], dtype=object), 'answer_start': array([60], dtype=int32)}",857,Central Asia,60,0.07001166861143523,"(700, 1000]","[0.0, 0.25)","[0, 150)"
29043,57068e4552bb891400689a57,New_Delhi,"New Delhi has one of India's largest bus transport systems. Buses are operated by the state-owned Delhi Transport Corporation (DTC), which owns largest fleet of compressed natural gas (CNG)-fueled buses in the world. Personal vehicles especially cars also form a major chunk of vehicles plying on New Delhi roads. New Delhi has the highest number of registered cars compared to any other metropolitan city in India. Taxis and Auto Rickshaws also ply on New Delhi roads in large numbers. New Delhi has one of the highest road density in India.",Delhi Transport Company owns the world's largest fleet of buses powered by what type of fuel?,"{'text': array(['compressed natural gas'], dtype=object), 'answer_start': array([161], dtype=int32)}",542,compressed natural gas,161,0.29704797047970477,"(0, 600]","[0.25, 0.5)","[150, 400)"
4821,56d1071617492d1400aab781,Kanye_West,"While West had encountered controversy a year prior when he stormed out of the American Music Awards of 2004 after losing Best New Artist, the rapper's first large-scale controversy came just days following Late Registration's release, during a benefit concert for Hurricane Katrina victims. In September 2005, NBC broadcast A Concert for Hurricane Relief, and West was a featured speaker. When West was presenting alongside actor Mike Myers, he deviated from the prepared script. Myers spoke next and continued to read the script. Once it was West's turn to speak again, he said, ""George Bush doesn't care about black people."" West's comment reached much of the United States, leading to mixed reactions; President Bush would later call it one of the most ""disgusting moments"" of his presidency. West raised further controversy in January 2006 when he posed on the cover of Rolling Stone wearing a crown of thorns.",What broadcast for NBC was Kanye presenting for when he spoke negatively about President Bush?,"{'text': array(['A Concert for Hurricane Relief'], dtype=object), 'answer_start': array([325], dtype=int32)}",915,A Concert for Hurricane Relief,325,0.3551912568306011,"(700, 1000]","[0.25, 0.5)","[150, 400)"
43217,570e3d930dc6ce1900204ed0,Eritrea,"According to recent estimates, 50% of the population adheres to Christianity, Islam 48%, while 2% of the population follows other religions including traditional African religion and animism. According to a study made by Pew Research Center, 63% adheres to Christianity and 36% adheres to Islam. Since May 2002, the government of Eritrea has officially recognized the Eritrean Orthodox Tewahedo Church (Oriental Orthodox), Sunni Islam, the Eritrean Catholic Church (a Metropolitanate sui juris) and the Evangelical Lutheran church. All other faiths and denominations are required to undergo a registration process. Among other things, the government's registration system requires religious groups to submit personal information on their membership to be allowed to worship.",What does the government's registration system require religious groups to submit about their membership?,"{'text': array(['personal information'], dtype=object), 'answer_start': array([708], dtype=int32)}",774,personal information,708,0.9147286821705426,"(700, 1000]","[0.5, 1.5)","[400, 5000)"
