,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,answer_start_cat,answer_pos_cat,context_cat
62576,5a66b8caf038b7001ab0c0c6,Data_compression,"The world's first commercial broadcast automation audio compression system was developed by Oscar Bonello, an engineering professor at the University of Buenos Aires. In 1983, using the psychoacoustic principle of the masking of critical bands first published in 1967, he started developing a practical application based on the recently developed IBM PC computer, and the broadcast automation system was launched in 1987 under the name Audicom. Twenty years later, almost all the radio stations in the world were using similar technology manufactured by a number of companies.",When was the principle of compression first published?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",576,,-1,-0.001736111111111111,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
1585,56cd70e962d2951400fa65b2,Sino-Tibetan_relations_during_the_Ming_dynasty,"Helmut Hoffman states that the Ming upheld the facade of rule over Tibet through periodic missions of ""tribute emissaries"" to the Ming court and by granting nominal titles to ruling lamas, but did not actually interfere in Tibetan governance. Melvyn C. Goldstein writes that the Ming had no real administrative authority over Tibet, as the various titles given to Tibetan leaders did not confer authority as the earlier Mongol Yuan titles had. He asserts that ""by conferring titles on Tibetans already in power, the Ming emperors merely recognized political reality."" Hugh Edward Richardson writes that the Ming dynasty exercised no authority over the succession of Tibetan ruling families, the Phagmodru (1354–1435), Rinpungpa (1435–1565), and Tsangpa (1565–1642).",Who believed that the Ming had no real authority over Tibet?,"{'text': array(['Melvyn C. Goldstein'], dtype=object), 'answer_start': array([243], dtype=int32)}",765,Melvyn C. Goldstein,243,0.3176470588235294,"[150, 400)","[0.25, 0.5)","(700, 1000]"
130286,5a7de83a70df9f001a8752ec,Matter,"For example, a horse eats grass: the horse changes the grass into itself; the grass as such does not persist in the horse, but some aspect of it—its matter—does. The matter is not specifically described (e.g., as atoms), but consists of whatever persists in the change of substance from grass to horse. Matter in this understanding does not exist independently (i.e., as a substance), but exists interdependently (i.e., as a ""principle"") with form and only insofar as it underlies change. It can be helpful to conceive of the relationship of matter and form as very similar to that between parts and whole. For Aristotle, matter as such can only receive actuality from form; it has no activity or actuality in itself, similar to the way that parts as such only have their existence in a whole (otherwise they would be independent wholes).",Who said matter had actuality in and of itself?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",838,,-1,-0.0011933174224343676,"[-1, 0)","[-0.25, 0.0)","(700, 1000]"
63035,5a711df70efcfe001a8afd53,Pesticide,"Some evidence shows that alternatives to pesticides can be equally effective as the use of chemicals. For example, Sweden has halved its use of pesticides with hardly any reduction in crops.[unreliable source?] In Indonesia, farmers have reduced pesticide use on rice fields by 65% and experienced a 15% crop increase.[unreliable source?] A study of Maize fields in northern Florida found that the application of composted yard waste with high carbon to nitrogen ratio to agricultural fields was highly effective at reducing the population of plant-parasitic nematodes and increasing crop yield, with yield increases ranging from 10% to 212%; the observed effects were long-term, often not appearing until the third season of the study.",What kind of crops were studied in Sweden?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",736,,-1,-0.001358695652173913,"[-1, 0)","[-0.25, 0.0)","(700, 1000]"
68198,5726bee05951b619008f7cda,Nutrition,"Dietary fiber is a carbohydrate that is incompletely absorbed in humans and in some animals. Like all carbohydrates, when it is metabolized it can produce four Calories (kilocalories) of energy per gram. However, in most circumstances it accounts for less than that because of its limited absorption and digestibility. Dietary fiber consists mainly of cellulose, a large carbohydrate polymer which is indigestible as humans do not have the required enzymes to disassemble it. There are two subcategories: soluble and insoluble fiber. Whole grains, fruits (especially plums, prunes, and figs), and vegetables are good sources of dietary fiber. There are many health benefits of a high-fiber diet. Dietary fiber helps reduce the chance of gastrointestinal problems such as constipation and diarrhea by increasing the weight and size of stool and softening it. Insoluble fiber, found in whole wheat flour, nuts and vegetables, especially stimulates peristalsis – the rhythmic muscular contractions of the intestines, which move digesta along the digestive tract. Soluble fiber, found in oats, peas, beans, and many fruits, dissolves in water in the intestinal tract to produce a gel that slows the movement of food through the intestines. This may help lower blood glucose levels because it can slow the absorption of sugar. Additionally, fiber, perhaps especially that from whole grains, is thought to possibly help lessen insulin spikes, and therefore reduce the risk of type 2 diabetes. The link between increased fiber consumption and a decreased risk of colorectal cancer is still uncertain.",How many kilocalories of energy per gram is dietary fiber able to produce when successfully metabolized?,"{'text': array(['four'], dtype=object), 'answer_start': array([155], dtype=int32)}",1593,four,155,0.0973006905210295,"[150, 400)","[0.0, 0.25)","(1000, 5000]"
32767,57097eaced30961900e84218,Orthodox_Judaism,"Orthodox Judaism is the approach to religious Judaism which subscribes to a tradition of mass revelation and adheres to the interpretation and application of the laws and ethics of the Torah as legislated in the Talmudic texts by the Tanaim and Amoraim. These texts were subsequently developed and applied by later authorities, known as the Gaonim, Rishonim, and Acharonim. Orthodox Judaism generally includes Modern Orthodox Judaism (אורתודוקסיה מודרנית) and Ultra-Orthodox or Haredi Judaism (יהדות חרדית), but complete within is a wide range of philosophies. Although Orthodox Judaism would probably be considered the mainstream expression of Judaism prior to the 19th century, for some Orthodox Judaism is a modern self-identification that distinguishes it from traditional pre-modern Judaism.",What is the approach to Judiasm that subscribes to a tradition of mass revelation?,"{'text': array(['Orthodox'], dtype=object), 'answer_start': array([0], dtype=int32)}",796,Orthodox,0,0.0,"[0, 150)","[0.0, 0.25)","(700, 1000]"
109264,572f8f2eb2c2fd1400568200,Pain,"A person's self-report is the most reliable measure of pain, with health care professionals tending to underestimate severity. A definition of pain widely employed in nursing, emphasizing its subjective nature and the importance of believing patient reports, was introduced by Margo McCaffery in 1968: ""Pain is whatever the experiencing person says it is, existing whenever he says it does"". To assess intensity, the patient may be asked to locate their pain on a scale of 0 to 10, with 0 being no pain at all, and 10 the worst pain they have ever felt. Quality can be established by having the patient complete the McGill Pain Questionnaire indicating which words best describe their pain.",What scale might a patient be asked to locate their pain on?,"{'text': array(['0 to 10'], dtype=object), 'answer_start': array([473], dtype=int32)}",690,0 to 10,473,0.6855072463768116,"[400, 5000)","[0.5, 1.5)","(600, 700]"
4360,56d20469e7d4791d009025fe,To_Kill_a_Mockingbird,"Just as Lee explores Jem's development in coming to grips with a racist and unjust society, Scout realizes what being female means, and several female characters influence her development. Scout's primary identification with her father and older brother allows her to describe the variety and depth of female characters in the novel both as one of them and as an outsider. Scout's primary female models are Calpurnia and her neighbor Miss Maudie, both of whom are strong willed, independent, and protective. Mayella Ewell also has an influence; Scout watches her destroy an innocent man in order to hide her desire for him. The female characters who comment the most on Scout's lack of willingness to adhere to a more feminine role are also those who promote the most racist and classist points of view. For example, Mrs. Dubose chastises Scout for not wearing a dress and camisole, and indicates she is ruining the family name by not doing so, in addition to insulting Atticus' intentions to defend Tom Robinson. By balancing the masculine influences of Atticus and Jem with the feminine influences of Calpurnia and Miss Maudie, one scholar writes, ""Lee gradually demonstrates that Scout is becoming a feminist in the South, for with the use of first-person narration, she indicates that Scout/ Jean Louise still maintains the ambivalence about being a Southern lady she possessed as a child.""",Tomboy Scout grows up tto become what?,"{'text': array(['feminist'], dtype=object), 'answer_start': array([1203], dtype=int32)}",1394,feminist,1203,0.8629842180774749,"[400, 5000)","[0.5, 1.5)","(1000, 5000]"
53525,572678f5f1498d1400e8e0e6,Chicago_Cubs,"Rookie Starlin Castro debuted in early May (2010) as the starting shortstop. However, the club played poorly in the early season, finding themselves 10 games under .500 at the end of June. In addition, long-time ace Carlos Zambrano was pulled from a game against the White Sox on June 25 after a tirade and shoving match with Derrek Lee, and was suspended indefinitely by Jim Hendry, who called the conduct ""unacceptable."" On August 22, Lou Piniella, who had already announced his retirement at the end of the season, announced that he would leave the Cubs prematurely to take care of his sick mother. Mike Quade took over as the interim manager for the final 37 games of the year. Despite being well out of playoff contention the Cubs went 24–13 under Quade, the best record in baseball during that 37 game stretch, earning Quade to have the interim tag removed on October 19.",Who announced on August 22nd they were leaving the Cubs prematurely? ,"{'text': array(['Lou Piniella'], dtype=object), 'answer_start': array([437], dtype=int32)}",877,Lou Piniella,437,0.4982896237172178,"[400, 5000)","[0.25, 0.5)","(700, 1000]"
95525,5a68e1668476ee001a58a832,IBM,"On June 16, 1911, their four companies were consolidated in New York State by Charles Ranlett Flint to form the Computing-Tabulating-Recording Company (CTR). CTR's business office was in Endicott. The individual companies owned by CTR continued to operate using their established names until the businesses were integrated in 1933 and the holding company eliminated. The four companies had 1,300 employees and offices and plants in Endicott and Binghamton, New York; Dayton, Ohio; Detroit, Michigan; Washington, D.C.; and Toronto. They manufactured machinery for sale and lease, ranging from commercial scales and industrial time recorders, meat and cheese slicers, to tabulators and punched cards.",What was the original name of the Endicott company?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",698,,-1,-0.0014326647564469914,"[-1, 0)","[-0.25, 0.0)","(600, 700]"
66496,5726c63ddd62a815002e8fef,Samoa,"The staple products of Samoa are copra (dried coconut meat), cocoa bean (for chocolate), and bananas. The annual production of both bananas and copra has been in the range of 13,000 to 15,000 metric tons (about 14,500 to 16,500 short tons). If the rhinoceros beetle in Samoa were eradicated, Samoa could produce in excess of 40,000 metric tons (44,000 short tons) of copra. Samoan cocoa beans are of very high quality and used in fine New Zealand chocolates. Most are Criollo-Forastero hybrids. Coffee grows well, but production has been uneven. WSTEC is the biggest coffee producer. Rubber has been produced in Samoa for many years, but its export value has little impact on the economy.[citation needed]",Are the cocoa beans grown in Samoa high or low quality?,"{'text': array(['high quality'], dtype=object), 'answer_start': array([405], dtype=int32)}",705,high quality,405,0.574468085106383,"[400, 5000)","[0.5, 1.5)","(700, 1000]"
28177,5a82162231013a001a3351bd,Phonology,"In addition to the minimal units that can serve the purpose of differentiating meaning (the phonemes), phonology studies how sounds alternate, i.e. replace one another in different forms of the same morpheme (allomorphs), as well as, for example, syllable structure, stress, feature geometry, accent, and intonation.",What is another name for syllable?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",316,,-1,-0.0031645569620253164,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
65476,5a204cd054a786001a36b2fa,Alloy,An alloy is a mixture of metals or a mixture of a metal and another element. Alloys are defined by metallic bonding character. An alloy may be a solid solution of metal elements (a single phase) or a mixture of metallic phases (two or more solutions). Intermetallic compounds are alloys with a defined stoichiometry and crystal structure. Zintl phases are also sometimes considered alloys depending on bond types (see also: Van Arkel-Ketelaar triangle for information on classifying bonding in binary compounds).,What is defined by its atomic bonding character?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",512,,-1,-0.001953125,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
119807,57314f09497a881900248d9e,Qing_dynasty,"The Guangxu Emperor died on November 14, 1908, and on November 15, 1908, Cixi also died. Rumors held that she or Yuan Shikai ordered trusted eunuchs to poison the Guangxu Emperor, and an autopsy conducted nearly a century later confirmed lethal levels of arsenic in his corpse. Puyi, the oldest son of Zaifeng, Prince Chun, and nephew to the childless Guangxu Emperor, was appointed successor at the age of two, leaving Zaifeng with the regency. This was followed by the dismissal of General Yuan Shikai from his former positions of power. In April 1911 Zaifeng created a cabinet in which there were two vice-premiers. Nonetheless, this cabinet was also known by contemporaries as ""The Royal Cabinet"" because among the thirteen cabinet members, five were members of the imperial family or Aisin Gioro relatives. This brought a wide range of negative opinions from senior officials like Zhang Zhidong. The Wuchang Uprising of October 10, 1911, led to the creation of a new central government, the Republic of China, in Nanjing with Sun Yat-sen as its provisional head. Many provinces soon began ""separating"" from Qing control. Seeing a desperate situation unfold, the Qing government brought Yuan Shikai back to military power. He took control of his Beiyang Army to crush the revolution in Wuhan at the Battle of Yangxia. After taking the position of Prime Minister and creating his own cabinet, Yuan Shikai went as far as to ask for the removal of Zaifeng from the regency. This removal later proceeded with directions from Empress Dowager Longyu.",How old was Prince Chun?,"{'text': array(['two'], dtype=object), 'answer_start': array([407], dtype=int32)}",1548,two,407,0.2629198966408269,"[400, 5000)","[0.25, 0.5)","(1000, 5000]"
78121,57279bfadd62a815002ea1e8,A_cappella,"Those who subscribe to this interpretation believe that since the Christian scriptures never counter instrumental language with any negative judgment on instruments, opposition to instruments instead comes from an interpretation of history. There is no written opposition to musical instruments in any setting in the first century and a half of Christian churches (33 AD to 180AD). The use of instruments for Christian worship during this period is also undocumented. Toward the end of the 2nd century, Christians began condemning the instruments themselves. Those who oppose instruments today believe these Church Fathers had a better understanding of God's desire for the church,[citation needed] but there are significant differences between the teachings of these Church Fathers and Christian opposition to instruments today.",At what point did instruments begin to receive condemnation from Christians?,"{'text': array(['the 2nd century'], dtype=object), 'answer_start': array([486], dtype=int32)}",829,the 2nd century,486,0.586248492159228,"[400, 5000)","[0.5, 1.5)","(700, 1000]"
71000,5ad28656d7d075001a4298df,Molotov%E2%80%93Ribbentrop_Pact,"On 10 January 1941, Germany and the Soviet Union signed an agreement settling several ongoing issues. Secret protocols in the new agreement modified the ""Secret Additional Protocols"" of the German–Soviet Boundary and Friendship Treaty, ceding the Lithuanian Strip to the Soviet Union in exchange for 7.5 million dollars (31.5 million Reichsmark). The agreement formally set the border between Germany and the Soviet Union between the Igorka river and the Baltic Sea. It also extended trade regulation of the 1940 German–Soviet Commercial Agreement until August 1, 1942, increased deliveries above the levels of year one of that agreement, settled trading rights in the Baltics and Bessarabia, calculated the compensation for German property interests in the Baltic States now occupied by the Soviets and other issues. It also covered the migration to Germany within two and a half months of ethnic Germans and German citizens in Soviet-held Baltic territories, and the migration to the Soviet Union of Baltic and ""White Russian"" ""nationals"" in German-held territories.",How long didn't the Russians have to relocate from the german occupied regions?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",1068,,-1,-0.0009363295880149813,"[-1, 0)","[-0.25, 0.0)","(1000, 5000]"
64225,5ad02c8777cf76001a686cb6,Late_Middle_Ages,"Morality plays emerged as a distinct dramatic form around 1400 and flourished until 1550. The most interesting morality play is The Castle of Perseverance which depicts mankind's progress from birth to death. However, the most famous morality play and perhaps best known medieval drama is Everyman. Everyman receives Death's summons, struggles to escape and finally resigns himself to necessity. Along the way, he is deserted by Kindred, Goods, and Fellowship - only Good Deeds goes with him to the grave.",What goes to the store with Everyman in the morality play?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",505,,-1,-0.0019801980198019802,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
92654,5a7b7a0421c2de001afea055,Software_testing,"Software developers can't test everything, but they can use combinatorial test design to identify the minimum number of tests needed to get the coverage they want. Combinatorial test design enables users to get greater test coverage with fewer tests. Whether they are looking for speed or test depth, they can use combinatorial test design methods to build structured variation into their test cases. Note that ""coverage"", as used here, is referring to combinatorial coverage, not requirements coverage.","""Coverage"" is referring to combined coverage but not what?","{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",503,,-1,-0.0019880715705765406,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
20845,5ad26c44d7d075001a42938f,Dialect,"When talking about the German language, the term German dialects is only used for the traditional regional varieties. That allows them to be distinguished from the regional varieties of modern standard German.",Which term is only used for national varieties?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",209,,-1,-0.004784688995215311,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
30257,5706b03f0eeca41400aa0d25,House_music,"One of the early anthemic tunes, ""Promised Land"" by Joe Smooth, was covered and charted within a week by the Style Council. Europeans embraced house, and began booking legendary American house DJs to play at the big clubs, such as Ministry of Sound, whose resident, Justin Berkmann brought in Larry Levan.",who was the resident of the Ministry of Sound?,"{'text': array(['Justin Berkmann'], dtype=object), 'answer_start': array([266], dtype=int32)}",305,Justin Berkmann,266,0.8721311475409836,"[150, 400)","[0.5, 1.5)","(0, 600]"
22210,56f71d1f711bf01900a44992,Slavs,"The Slavs under name of the Antes and the Sclaveni make their first appearance in Byzantine records in the early 6th century. Byzantine historiographers under Justinian I (527–565), such as Procopius of Caesarea, Jordanes and Theophylact Simocatta describe tribes of these names emerging from the area of the Carpathian Mountains, the lower Danube and the Black Sea, invading the Danubian provinces of the Eastern Empire.","According to Byzantine historiographers, tribes of Slavs emerged from what areas?","{'text': array(['the Carpathian Mountains, the lower Danube and the Black Sea'],
      dtype=object), 'answer_start': array([305], dtype=int32)}",421,"the Carpathian Mountains, the lower Danube and the Black Sea",305,0.7244655581947743,"[150, 400)","[0.5, 1.5)","(0, 600]"
122438,5731cb92e99e3014001e628f,Separation_of_church_and_state_in_the_United_States,"The court noted that it ""is a matter of history that this very practice of establishing governmentally composed prayers for religious services was one of the reasons which caused many of our early colonists to leave England and seek religious freedom in America."" The lone dissenter, Justice Potter Stewart, objected to the court's embrace of the ""wall of separation"" metaphor: ""I think that the Court's task, in this as in all areas of constitutional adjudication, is not responsibly aided by the uncritical invocation of metaphors like the ""wall of separation,"" a phrase nowhere to be found in the Constitution.""",Stewart felt the court was not responsibly aided by the uncritical invocation of what?,"{'text': array(['metaphors'], dtype=object), 'answer_start': array([523], dtype=int32)}",614,metaphors,523,0.8517915309446255,"[400, 5000)","[0.5, 1.5)","(600, 700]"
105261,572ec920cb0c0d14000f155c,Endangered_Species_Act,"Section 6 of the Endangered Species Act provided funding for development of programs for management of threatened and endangered species by state wildlife agencies. Subsequently, lists of endangered and threatened species within their boundaries have been prepared by each state. These state lists often include species which are considered endangered or threatened within a specific state but not within all states, and which therefore are not included on the national list of endangered and threatened species. Examples include Florida, Minnesota, Maine, and California.",Section 6 of the Endangered Species Act provided funding for what purpose?,"{'text': array(['development of programs for management of threatened and endangered species by state wildlife agencies'],
      dtype=object), 'answer_start': array([61], dtype=int32)}",572,development of programs for management of threatened and endangered species by state wildlife agencies,61,0.10664335664335664,"[0, 150)","[0.0, 0.25)","(0, 600]"
6026,56d374c959d6e41400146447,American_Idol,"Chris Daughtry's performance of Fuel's ""Hemorrhage (In My Hands)"" on the show was widely praised and led to an invitation to join the band as Fuel's new lead singer, an invitation he declined. His performance of Live's version of ""I Walk the Line"" was well received by the judges but later criticized in some quarters for not crediting the arrangement to Live. He was eliminated at the top four in a shocking result.",Which contestant did the band Fuel ask to be their new lead singer?,"{'text': array(['Chris Daughtry'], dtype=object), 'answer_start': array([0], dtype=int32)}",416,Chris Daughtry,0,0.0,"[0, 150)","[0.0, 0.25)","(0, 600]"
979,56cbf12a6d243a140015ee0a,Frédéric_Chopin,"Chopin arrived in Paris in late September 1831; he would never return to Poland, thus becoming one of many expatriates of the Polish Great Emigration. In France he used the French versions of his given names, and after receiving French citizenship in 1835, he travelled on a French passport. However, Chopin remained close to his fellow Poles in exile as friends and confidants and he never felt fully comfortable speaking French. Chopin's biographer Adam Zamoyski writes that he never considered himself to be French, despite his father's French origins, and always saw himself as a Pole.",What nationality is stated as the one Frédéric felt most identified by?,"{'text': array(['Polish'], dtype=object), 'answer_start': array([126], dtype=int32)}",589,Polish,126,0.21392190152801357,"[0, 150)","[0.0, 0.25)","(0, 600]"
3465,56cfa06a234ae51400d9be3a,New_York_City,"The first documented visit by a European was in 1524 by Giovanni da Verrazzano, a Florentine explorer in the service of the French crown, who sailed his ship La Dauphine into New York Harbor. He claimed the area for France and named it ""Nouvelle Angoulême"" (New Angoulême).",Giovanni da Verrazzano's ship that sailed to New York was named what?,"{'text': array(['La Dauphine'], dtype=object), 'answer_start': array([158], dtype=int32)}",273,La Dauphine,158,0.5787545787545788,"[150, 400)","[0.5, 1.5)","(0, 600]"
79785,5727dc2c2ca10214002d9837,USB,"Various connectors have been used for smaller devices such as digital cameras, smartphones, and tablet computers. These include the now-deprecated (i.e. de-certified but standardized) mini-A and mini-AB connectors; mini-B connectors are still supported, but are not OTG-compliant (On The Go, used in mobile devices). The mini-B USB connector was standard for transferring data to and from the early smartphones and PDAs. Both mini-A and mini-B plugs are approximately 3 by 7 mm; the mini-A connector and the mini-AB receptacle connector were deprecated on 23 May 2007.",What was standard for transferring data to and from the earlier type of smartphones?,"{'text': array(['The mini-B USB connector'], dtype=object), 'answer_start': array([317], dtype=int32)}",568,The mini-B USB connector,317,0.5580985915492958,"[150, 400)","[0.5, 1.5)","(0, 600]"
