,actual_answer,predicted_answer,answer_match
10,codecs,"discrete data segments for encoding and decoding. ) the inherent latency of the coding algorithm can be critical ; for example, when there is a two - way",0.0
11,,,
12,western and soviet spheres of influence.,,0.0
13,"demolished in a dramatic, las vegas styled implosion","happened to the sands atlantic city a year after it closed? [sep] owing to economic conditions and the late 2000s recession, many of the proposed mega casinos never went",0.0
14,around 20%,"- pitching with champagne yeast, and to 55 % abv by the freeze - distilling process. the alcohol content of beer varies by local practice or beer style. the pale lagers that most consumers are familiar with fall in the range of 4 – 6 %, with a typical abv of 5 %. the customary strength of british ales is quite low, with many session beers being around 4 % abv. some beers",0.0
15,,"fluorescent lamps ( cfl ), cold cathode fluorescent lamps ( ccfl ), high - intensity discharge lamps, and light - emitting diode lamps ( led ). some jurisdictions, such as the european union, china, canada and united states, are in the process of phasing out the use of incandescent light bulbs while",
16,,"##precated. it still ships with windows 8 and continues to work on preset schedules, but is pushed to the background and can only be accessed through a control panel applet called "" windows 7 file recovery "". : 76 shadow copy, a component of windows explorer that once saved previous versions of changed files, no longer protects local files and folders. it can only access previous versions of shared files stored on a windows server computer. : 74 the subsyste",
17,defeated,"less successful. in the early days of rome's war against carthage, the commander publius claudius pulcher ( consul 249 bc ) launched a sea campaign "" though the sacred chickens would not eat when he took the auspices. "" in defiance of the omen, he threw them into the sea, "" saying that they might drink, since they would not eat. he was defeated, and on being bidden by the senate to appoint a dictator, he appointed his messenger glycias, as if again making a jest of his country's peril. "" his impiety not only lost the battle but ruined his career. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
18,"2,500","? [sep] several annual events — many of them centered on performing and visual arts — draw visitors to ann arbor. one such event is the ann arbor art fairs, a set of four concurrent juried fairs held on downtown streets. scheduled on wednesday through saturday of the third week of july, the fairs draw upward of half a million visitors. another is the ann arbor film festival, held during the third week of march, which",0.0
19,"wmv, mov, ts",,0.0
20,,,
21,"an event-based or ""process"" ontology",,0.0
22,man-made noise,,0.0
23,medieval,"is a rich and diverse tradition of engineering and designing. it involves multiple different construction types, such as stone cities, castles, citadels, fortresses, mosques, mausoleums, towers, tombs, tumuli, cairns, megaliths, menhirs, stelae, dolmens, stone circles, monuments, temples, enclosures, cisterns, aqueducts, and lighthouses. spanning the ancient, medieval and early modern periods in greater somalia, it also includes the fusion of somalo - islamic architecture with western designs in contemporary times. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
24,,"market instruments such as equities, debt issues, funds ( including hedge fund structures ) and depository receipt programmes. the bsx is a full member of the world federation of exchanges and is located in an oecd member nation. it also has approved stock exchange status under australia's foreign investment fund ( fif ) taxation rules and designated investment exchange status by the uk's financial services authority. [sep]",
25,"400,000","green standard army soldiers were on the qing side? [sep] faced with the stripping of their powers, wu sangui, later joined by geng zhongming and by shang kexi's son shang zhixin, felt they had no choice but to revolt. the ensuing revolt of the three feudatories lasted for",0.0
26,victor orthophonic phonograph,,0.0
27,11 june 1833,"oribe passed a decree establishing the greater university of the republic. that decree had few practical effects, given the institutional instability of the oriental republic of the uruguay",0.0
28,the northern and southern reaches of the desert,,0.0
29,11th and 12th centuries,"endowment, will remain under the control of the donor ( and their descendent ), resulted in a "" spurt "" of establishment of madaris in the 11th and 12th centuries. however, in western islamic lands, where the maliki views prohibited donors from controlling their endowment, madaris were not as popular. unlike the corporate designation of western institutions of higher learning, the waqf designation seemed to have led to the exclusion of non - orthodox religious subjects such a philosophy and natural science from the curricula. the madras",1.0
30,,[cls] where did gag cartoons last make an appearance? [sep] gag and editorial,
31,central asia,,0.0
32,compressed natural gas,,0.0
33,a concert for hurricane relief,"speaker. when west was presenting alongside actor mike myers, he deviated from the prepared script. myers spoke next and continued to read the script. once it was west's turn to speak again, he said, "" george bush doesn't care about black people. "" west's comment reached much of the united states, leading to mixed reactions ; president bush would later call it one of the most "" disgusting moments "" of his presidency. west raised further controversy in january 2006 when he posed on the cover of rolling stone wearing a crown of",0.0
34,personal information,,0.0
35,,,
36,,as being in the lower high german group? [sep] another,
37,ecstasy,,0.0
38,the prescribed 3% limit,"emu membership qualification "". the above led the greek minister of finance to clarify that the 1999 budget deficit was below the prescribed 3 % limit when calculated with the esa7",0.0
39,,,
40,the harlem river,,0.0
41,muhammad ali pasha,,0.0
42,chihuahua,"the morning. before his execution, he thanked his jailers, private soldiers ortega and melchor, in letters for their humane treatment. at his execution, hidalgo placed his right hand over his heart to show the riflemen where they should aim. he also refused the use of a blindfold. his body, along with the bodies of allende, aldama and jose mariano jimenez were decapitated, and the heads",0.0
43,,,
44,,,
45,,"? [sep] another arabic word sometimes used for christians, particularly in a political context, is salibi ( صليبي "" crusader "" ) from salib ( صليب "" cross "" ) which refers to crusaders and has negative connotations. however, salibi is a modern term ; historically, muslim writers described european christian crusaders as al - faranj or alfranj ( الفرنج ) and firinjiyah ( الفرنجية ) in arabic "" this word comes from the",
46,,,
47,republican party,"episcopalians and presbyterians, as well as other wasps, tend to be considerably wealthier and better educated ( having graduate and post - graduate degrees per capita ) than most other religious groups in united states, and are disproportionately represented in the upper reaches of american business, law and politics, especially the republican party. numbers of the most wealthy and affluent american families as the vanderbilts and the astors, rockefeller, du pont, roosevelt, forbes, whitneys, the morgans and harrimans are mainline protestant families. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
48,1770,,0.0
49,western railroad,,0.0
50,,,
51,idiosyncratic cheers at baseball games,or is given a ticket,0.0
52,,,
53,"popular culture, political control, and social class",of,0.0
54,circadian light meter,order to specifically measure the amount of light,0.0
55,,approved stock exchange status under australia's foreign investment fund ( fif ) taxation rules and designated investment exchange status by,
56,,,
57,1880,romantic movement of the early 19th century reshaped science by,0.0
58,lethal injection,", was ruled unconstitutional by the nebraska supreme court. in 2009, nebraska enacted a bill that changed its method of execution to lethal injection. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
59,,,
60,supercapacitors store large amounts of energy,"what is the main feature of a supercapacitor? [sep] several other types of capacitor are available for specialist applications. supercapacitors store large amounts of energy. supercapacitors made from carbon aerogel, carbon nanotubes, or highly porous electrode materials, offer extremely high capacitance ( up to 5 k",1.0
61,commonplace,,0.0
62,the mid-1960s,"trendsetter was revived during the punk era. in 1965 london's political boundaries were expanded to take into account the growth of the urban area and a new greater london council was created. during the troubles in northern ireland, london was subjected to bombing attacks by the provisional ira",0.0
63,including celebrities such as elvis presley,,0.0
64,,,
65,the national capital,"[cls] what was the designation of nanjing? [sep] because it was designated as the national capital, many structures were built around that time. even today, some of them still remain which are open to tourists. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
66,any english cathedrals,,0.0
67,£110m,"[cls] how much money could the science park programme have raised for the college? [sep] in december 2005, imperial announced a science park programme at the wye campus, with extensive housing ; however, this was abandoned in september 2006 following complaints that the proposal infringed on areas of outstanding natural beauty, and that the true scale of the scheme, which could have raised £110m for the college, was known to kent and ashford councils and their consultants but concealed from the public. one commentator observed that imperial's scheme reflected "" the state of democracy in kent, the transformation of a renowned scientific college into a grasping, highly aggressive, neo - corporate institution, and the defence of the status of an area of outstanding natural beauty – throughout england, not just wye – against rampant greed backed by the connivance of two important local authorities. wye college campus was finally closed in september 2009. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
68,parallel,,0.0
69,lyndon b. johnson,", by recommending to the us congress that a civilian agency be established to direct nonmilitary space activities. congress, led by senate majority leader lyndon b. johnson, responded by passing the national aeronautics and space",1.0
70,london times,"[sep] rex stout's fictional detective nero wolfe is described as fond of solving the london times'crossword puzzle at his new york home, in preference to those of american papers. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
71,,,
72,,"the new synthetic pigments, but not always with happy results. in 1962 he donated to harvard university a series of large murals of the passion of christ whose predominant colors were dark pink and deep crimson. he mixed mostly traditional colors to make the pink and crimson ; synthetic ultramarine, cerulean blue, and titanium white, but he also used two new organic reds, naphtol and lithol. the naphtol did well, but the lithol slowly changed color when exposed to light. within five years the deep pinks and reds had begun to turn light blue, and by 1979",
73,republican,"of which imposed a poll tax requirement for voter registration. these served to disenfranchise most african americans, and their power in the republican party, the state, and cities where they had significant population was markedly reduced. in 1900 african americans comprised 23. 8 percent of the state's population, concentrated in middle and west tennessee. in the early 1900s,",1.0
74,seagram,,0.0
75,,"##ανασιος αλεξανδρειας, athanasios alexandrias ; c. 296 – 298 – 2 may 373 ), also called athanasius the great, athanasius the confessor or, primarily in the coptic orthodox church, athanasius the apostolic, was the twentieth bishop of alexandria ( as athanasius i ). his episcopate lasted 45 years ( c. 8 june 328 – 2 may 373 ), of which over",
76,,"is based on the notion that all languages necessarily follow a small set of principles and vary according to their selection of certain binary parameters. that is, all languages'phonological structures are essentially the same, but",
77,the montevideo crandon institute,,0.0
78,hurricane katrina,"brazilians of at least partial african heritage make up a large percentage of the population, few blacks have been elected as politicians. the city of salvador, bahia",0.0
79,,"copyright holder's permission in 2013? [sep] much of youtube's revenue goes to the copyright holders of the videos. in 2010 it was reported that nearly a third of the videos with advertisements were uploaded without permission of the copyright holders. youtube gives an option for copyright holders to locate and remove their videos or to have them continue running for revenue. in may 2013, nintendo",
80,"""powerhouse pepper""",of the humorous,0.0
81,1990s,"handled by a number of different companies, with nintendo responsible for most cartridge releases. most of this region saw a 1986 release. mattel handled distribution for the other region, consisting of the united kingdom, ireland, canada",0.0
82,,"1960s and 1970s with bands such as fairport convention and steeleye span taking it on as the lead instrument in many of their songs. maggie may by rod stewart, which hit no. 1 on both the british charts and the billboard hot 100, also featured jackson's playing. it has also been used by other british rock musicians. led zeppelin's bassist john paul jones is an accomplished mandolin player and has recorded numerous songs on mandolin including going to california and that's",
83,,,
84,mutassim,,0.0
85,composer,"' s new york home was located at 327 east 17th street, near perlman place. the house was razed by beth israel medical center after it received approval of a 1991 application to demolish the house and replace it with an aids hospice. time magazine was started at 141 east 17th street. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",0.0
86,the foundation announced in 2007 a review of its investments to assess social responsibility. it subsequently cancelled the review,,0.0
87,,"delimitation of the federal territory keeps being debated in germany, though """,
88,jains,as purana kassa,0.0
89,ovaries,,0.0
90,,"in a theological context was charles hartshorne, who spent a semester at harvard as whitehead's teaching assistant in 1925, and is widely credited with developing whitehead's process philosophy into a full - blown process theology. other notable process theologians include john b. cobb",
91,the official tour of the catacombs,"from 1786, the contents of all paris'parish cemeteries were transferred to a renovated section of paris'stone mines outside the "" porte d'enfer "" city gate, today place denfert - rochereau in the 14th",0.0
92,,"' s electoral college votes in all but one election that it has participated in ( 1964 ). no state has voted for a democratic presidential candidate fewer times. alaska was carried by democratic nominee lyndon b. johnson during his landslide election in 1964, while the 1960 and 1968 elections were close. since 1972, however, republicans have carried the state by large margins. in 2008, republican john mccain defeated democrat barack obama in alaska, 59.",
