,actual_answer,predicted_answer,answer_match
112,"3,007 feet","3,007 feet",1.0
113,golden age of classical athens,classical,0.0
114,derogatory,muslims,0.0
115,five,five,1.0
116,inorganic chemical elements,inorganic chemical elements,1.0
117,2001,2001,1.0
118,country pub,"""country pub",1.0
119,mixed-to-negative,mixed-to-negative,1.0
120,oak park and ferndale,inner-ring,0.0
121,handicrafts,handicrafts,1.0
122,mpeg-2,mpeg-2 compression on a dvb-s signal from ses's astra 1h satellite. euro1080 transmissions later changed to mpeg-4/avc compression on a dvb-s2 signal in line with subsequent broadcast channels in europe.</s><pad>,1.0
123,,"""achievement",
124,december 2004,2004,0.0
125,bruges,bruges,1.0
126,,standard model,
127,,fairbanks,
128,20,20,1.0
129,dualshock 3,dualshock 3,1.0
130,oscar niemeyer,oscar niemeyer,1.0
131,tim maudlin,tim maudlin,1.0
132,,arsenal,
133,ancient egyptian,egyptian,0.0
134,numerous explanatory notes giving her own answers to doubts that darwin expressed,religious,0.0
135,resident,palagi,0.0
136,berber,amazigh (berber,1.0
137,jamia nayeemia muradabad,deoband,0.0
138,19th century,19th century,1.0
139,de materia medica,de materia medica,1.0
140,,homo sapiens,
141,,federation,
142,an ape,orangutan,0.0
143,dominion theatre,dominion theatre,1.0
144,"4,000","4,000",1.0
145,underwater,underwater volcano,1.0
146,,acidic,
147,,2007,
148,,tubote,
149,polymorphic,polymorphic,1.0
150,"all the surfaces of depicted objects in a single picture plane, as if the objects had all their faces visible at the same time.",in a single,0.0
151,himachal pradesh high court and a system of lower courts.,courts,0.0
152,the eunuchs' execution,execution,0.0
153,like the colors of the spectrum,race,0.0
154,lord curzon,lord curzon,1.0
155,"1,200","1,100",0.0
156,physical,biological or physical anthropology,1.0
157,a growing papyrus sprout,papyrus,0.0
158,,fourth of june,
159,diana,diana,1.0
160,2004,2004,1.0
161,,40%,
162,,"indiana jones and the last crusade, it is revealed that indy has always had a very strained relationship with his father, who is a professor of medieval literature, as his father always seemed more interested in his work, specifically in his studies of the holy grail, than in his own son, although his father does not seem to realize or understand the negative effect that his aloof nature had on indy (he even believes he was a good father in the sense that he taught his son ""self reliance,"" which is not how indy saw it). even oskar schindler, from schindler's list, is reluctant to have a child with his wife. munich depicts avner as a man away from his wife and newborn daughter. there are of course exceptions; brody in jaws is a committed family man, while john anderton in minority report is a shattered man after the disappearance of his son. this theme is arguably the most autobiographical aspect of spielberg's films, since spielberg himself was affected by his parents' divorce as a child and by the absence of his father. furthermore, to this theme, protagonists in his films often come from families with divorced parents, most notably e.t. the extra-terrestrial (protagonist elliot's mother is divorced) and catch me if you can (frank abagnale's mother and father split early on in the film). little known also is tim in jurassic park (early in the film, another secondary character mentions tim and lex's parents' divorce). the family often shown divided is often resolved in the ending as well. following this theme of reluctant fathers and father figures, tim looks to dr. alan grant as a father figure. initially, dr. grant is reluctant to return those paternal feelings to tim. however, by the end of the film, he has changed, and the kids even fall asleep with their heads on his shoulders.</s><pad>",
163,scarring,,0.0
164,haploid generative,sperm,0.0
165,galileo,galileo,1.0
166,219 years,219 years,1.0
167,,kool kat,
168,,emotions,
169,,beer,
170,,"rutherford invited and cultivated opposition for publicity purposes in a bid to attract dispossessed members of society, and to convince members that persecution from the outside world was evidence of the truth of their struggle to serve god. watch tower society literature of the period directed that witnesses should ""never seek a controversy"" nor resist arrest, but also advised members not to co-operate with police officers or courts that ordered them to stop preaching, and to prefer jail rather than pay fines.</s><pad>",
171,civilian,civilian,1.0
172,"primordial, natural, enduring and distinct",primordial,0.0
173,,tristan da cunha canned crawfish,
174,austria,austria,1.0
175,july 2012,2012,0.0
176,a shellac-based compound,shellac,0.0
177,summerhaven,summerhaven,1.0
178,,restore,
179,minimal,minimal,1.0
180,the bible,bible,0.0
181,22.9,22.9,1.0
182,revolution of 1830,revolution,0.0
183,jan ekier,jan ekier,1.0
184,,flying squirrel,
185,district of hackney wick in east london,hackney wick in east london,0.0
186,,glacial earthquakes,
187,1978,1978,1.0
188,"236,900","236,900",1.0
189,tynwald hill at st john's,tynwald hill at st john's,1.0
190,,heavy aviation cruisers,
191,19 state rooms,52,0.0
192,"$214,000 and $71,000","$214,000",0.0
193,he is regarded as one of the giants of modern mathematics,"most influential mathematician who ever lived,"" wrote miklós rédei in ""selected letters."" james glimm wrote: ""he is regarded as one of the giants of modern mathematics"". the mathematician jean dieudonné called von neumann ""the last of the great mathematicians"", while peter lax described him as possessing the ""most scintillating intellect of this century"".</s><pad>",1.0
194,ethics,ethics,1.0
195,,undemocratic,
196,swifts,swifts,1.0
197,"8th, 16th and 17th",paris,0.0
198,a church was built within the walls of the roman fortress,church,0.0
199,"marx, durkheim, and weber",marx,0.0
200,,<pad>,
201,limassol,limassol,1.0
202,,"""potemkin",
203,sea grapes,coconut palm,0.0
204,1644–1911,,0.0
205,the holy roman empire,holy roman empire,0.0
206,both clubs and in the mainstream pop scene,clubs,0.0
207,dw kanye west,dw,0.0
208,access to parts of the internet the contracting isp by itself has no access to,internet access,0.0
209,1970,1970,1.0
210,,35 kilometres,
211,in front of st. george's cathedral.,lviv,0.0
212,technical details,gray's patent caveat,0.0
213,bohras,"""bohras",1.0
214,water-saturated,(water-saturated,1.0
215,a few days up to multiple decades,few days,0.0
216,king peter ii,peter ii,0.0
217,,dialect,
218,,(1368,
219,,1937,
220,muslim conquests,muslim conquests,1.0
221,technical and commercial,oil,0.0
222,,1848,
223,peristalsis,peristalsis,1.0
224,from 5 to 6 december,5 to 6 december,0.0
225,,oswald,
226,,canons,
227,,,
228,enmebaragesi,gilgamesh,0.0
229,,american revolutionary war,
230,franklin d. roosevelt,,0.0
231,,indian,
232,bagdatikos,bagdatikos,1.0
233,,irish republican,
234,domestically and internationally,nanjing,0.0
235,wilbur wright,wilbur wright,1.0
236,,vistula,
237,,"contrasts with dualism, phenomenalism, idealism, vitalism, and dual-aspect monism. its materiality can, in some ways, be linked to the concept of determinism, as espoused by enlightenment thinkers.</s><pad>",
238,habitat protection and recovery goals,protection and recovery,0.0
239,43,43,1.0
240,the greater london authority (gla),greater london authority,0.0
241,kim il-sung,"kim il-sung that he was responsible for the kpa's atrocities. by september, the un command controlled the pusan perimeter, enclosing about 10% of korea, in a line partially defined by the nakdong river.</s><pad>",1.0
242,interfere,pain is the most common reason for physician consultation in most developed countries. it is a major symptom in many medical conditions,0.0
243,both health and diseases,health and diseases,0.0
244,,hunters,
245,britain,britain,1.0
246,,"orwell's nineteen eighty-four, and alan rogerson describes the religion's leadership as totalitarian. other critics charge that by disparaging individual decision-making, the religion's leaders cultivate a system of unquestioning obedience in which witnesses abrogate all responsibility and rights over their personal lives. critics also accuse the religion's leaders of exercising ""intellectual dominance"" over witnesses, controlling information and creating ""mental isolation"", which former governing body member raymond franz argued were all elements of mind control.</s><pad>",
247,,netflix subscription,
248,2015,"1948 election, the state turned firmly republican. although registered republicans were a minority in the state until 2015, starting in 1952",1.0
249,,roman,
250,,<pad>,
251,,inert,
252,1989,1989,1.0
253,,spanish dollars,
254,artemis,artemis,1.0
255,malware,malware,1.0
256,,lcd,
257,,grain,
258,growth rings,sapwood,0.0
259,professor franz six,franz six,0.0
260,,machiavelli,
261,,two percent,
262,latin american work,playwrights,0.0
263,scientific journals,scientific journals,1.0
264,19,19,1.0
265,upper,middle,0.0
266,2009,2009,1.0
267,its colonial history,colonial history,0.0
268,,1996,
269,420,420,1.0
270,north,north,1.0
271,dissolution of communal landholdings,dissolution of communal landholdings,1.0
272,her mother,her mother,1.0
273,eastern orthodoxy,eastern orthodoxy,1.0
274,hm treasury,hm treasury,1.0
275,,extinct,
276,,tottenham hotspur,
277,the association of american universities,association of american universities,0.0
278,cabooses,cabooses,1.0
279,,"12 and 16,5 million",
280,,1970s,
281,,going down,
282,the united states is bermuda's largest trading partner,,0.0
283,,expressionist,
284,roman,former roman administrators,1.0
285,9th century,9th century,1.0
286,the 1960s,1960s,0.0
287,,"two subtypes of acute coronary syndrome, namely non-st-elevated and st-elevated mis, which are most frequently (but not always) a manifestation of coronary artery disease. the most common triggering event is the disruption of an atherosclerotic plaque in an epicardial coronary artery, which leads to a clotting cascade, sometimes resulting in total occlusion of the artery. atherosclerosis is the gradual buildup of cholesterol and fibrous tissue in plaques in the wall of arteries (in this case, the coronary arteries), typically over decades. bloodstream column irregularities visible on angiography reflect artery lumen narrowing as a result of decades of advancing atherosclerosis. plaques can become unstable, rupture, and additionally promote the formation of a blood clot that occludes the artery; this can occur in minutes. when a severe enough plaque rupture occurs in the coronary arteries, it leads to mi (necrosis of downstream myocardium). it is estimated that one billion",
288,pigs,pigs,1.0
289,bureaucratic superstate,japanese government,0.0
290,opus dei center,opus dei,0.0
291,yangtze river,yangtze,0.0
292,"750,000","750,000",1.0
293,queen louise,his wife queen louise,1.0
294,"many have paid staff including management, whereas others employ unpaid volunteers and even executives who work with or without compensation","paid staff including management, whereas others employ unpaid volunteers and even executives who work with or without compensation (occasionally nominal). in some countries, where there is a token fee, in general it is used to meet legal requirements for establishing a contract between the executive and the organization.</s><pad>",0.0
295,in canada's arctic,arctic,0.0
296,"10,000 feet","10,000 feet",1.0
297,,united nations international security assistance force,
298,three,,0.0
299,,rogers,
300,,erwin schrödinger,
301,"september 21, 1953",1953,0.0
302,route through beringia,route through beringia,1.0
303,the rate of flow of a charge q(t) passing through it,rate of flow,0.0
304,4th century–1489,middle ages,0.0
305,little rock,little rock,1.0
306,saprophages,dead,0.0
307,,"54.8%, services 28.7%, industry 10.2%, commerce 6.1%, agribusiness 0.2%.</s><pad>",
308,marriage,marriage,1.0
309,,march,
310,,steel,
311,to keep them dry,"ice melted after the last glacial period, late paleolithic communities were established along the lake shores and in cave systems. evidence of human habitation has been found in caves near vercors, close to grenoble; in austria the mondsee culture shows evidence of houses built on piles to keep them dry",1.0
312,walnut street theatre,walnut street theatre,1.0
313,,"clergy. dominic's new order was to be a preaching order, trained to preach in the vernacular languages. rather than earning their living on vast farms as the monasteries had done, the new friars would survive by begging, ""selling"" themselves through persuasive preaching.</s><pad>",
314,between 1550 and 1900,classical music,0.0
315,use of traditional cavalry,cavalry charges,0.0
316,cronyism,cronyism,1.0
317,toyotomi hideyoshi,toyotomi,0.0
318,literary devices,devices,0.0
319,it has preserved extensive commercial ties,<pad>,0.0
320,six red bands in the tibetan flag,six red bands,0.0
321,,mount kosciuszko,
322,second air force,second air force,1.0
323,king henry,henry viii,0.0
324,prince henry of battenberg,prince henry of battenberg,1.0
325,,"""separation of church and state",
326,,"pancake motors are still widely used in high-performance servo-controlled systems, robotic systems, industrial automation and medical devices. due to the variety of constructions now available, the technology is used in applications from high temperature military to low cost pump and basic servos.</s><pad>",
327,,,
328,magnus hirschfeld,magnus hirschfeld,1.0
329,specifically designed usb 2.0 high speed interfaces,usb,0.0
330,"greeks, kushans, scythians, turks, and afghans",afghans,0.0
331,"cedar point, ohio",cedar point,0.0
332,secret intelligence service,mi6,0.0
333,the battle of cape finisterre,cape finisterre,0.0
334,,ontario to teach anatomy to medical students.</s><pad>,
335,"september 27, 1821",1821,0.0
336,,"it either approves it and sends it to the senate with the text ""the second chamber of the states general sends the following approved proposal of law to the first chamber"", or it rejects it and returns it to the government with the text ""the second chamber of the states general has rejected the accompanying proposal of law."" if the upper house then approves the law, it sends it back to the government with the text ""to the king, the states general have accepted the proposal of law as it is offered here.""</s><pad>",
337,officials in power of a state or area,state,0.0
338,history,history,1.0
339,240,240-acre,1.0
340,feed and clothe,feed,0.0
341,the near east,near east,0.0
342,,commonwealth stadium,
343,1729,1729,1.0
344,a great-great grandson of jacob,"moses, a great-great grandson",0.0
345,,puzzles,
346,market for exports,exports,0.0
347,,saturday,
348,european mainland,european,0.0
349,,1909,
350,renaissance architecture,renaissance,0.0
351,three,three,1.0
352,perform rituals,,0.0
353,internet radio,seattle,0.0
354,1870,1870,1.0
355,before dawn,,0.0
356,they believed evolution was purposeful and progressive.,eclipse of darwinism,0.0
357,"june 11, 2001",2001,0.0
358,,books on islamic history,
359,civil service,civil service,1.0
360,1241–1246,"1247, tibet was officially incorporated into the mongol empire during the regency of töregene khatun (1241–1246",1.0
361,philadelphia,philadelphia,1.0
362,guano,guano,1.0
363,the physical transition marked by the onset of puberty and the termination of physical growth,puberty,0.0
364,,time,
365,india,india,1.0
366,galician-portuguese,galician-portuguese,1.0
367,north,chihuahuan desert,0.0
368,thicker,<pad>,0.0
369,hmg-coa reductase,hmg-coa reductase,1.0
370,minoan period,minoan,0.0
371,30,30,1.0
372,interstate 95,interstate 95,1.0
373,,karl popper,
374,200 metres,200 metres,1.0
375,2001,2001,1.0
376,,hayek,
377,political elites that were concerned with contesting elections and restricted the influence of outsiders,"french political scientist maurice duverger drew a distinction between cadre parties and mass parties. cadre parties were political elites that were concerned with contesting elections and restricted the influence of outsiders, who were only required to assist in election campaigns. mass parties tried to recruit new members who were a source of party income and were often expected to spread party ideology as well as assist in elections.socialist parties",1.0
378,albany firebirds,albany firebirds,1.0
379,,"feudal conflict of the middle ages heavily affected utrecht. the prince-bishopric was involved in almost continuous conflicts with the counts of holland and the dukes of guelders. the veluwe region was seized by guelders, but large areas in the modern province of overijssel remained as the oversticht.</s><pad>",
380,a young bear cub,clark,0.0
381,,republican movement,
382,on the ground,ground,0.0
383,,mountains,
384,"genome size, gene order, codon usage bias, and gc-content",genes,0.0
385,mgm grand hotel & casino in las vegas,las vegas,0.0
386,,assign electoral votes,
387,mediterranean,mediterranean,1.0
388,"florida had become a burden to spain, which could not afford to send settlers or garrisons",florida had become,0.0
389,"ginger, victor, hercules and terrible ted",ginger,0.0
390,melbourne airport (also called tullamarine airport),melbourne,0.0
391,,,
392,,1994,
393,innsbrook,(innsbrook,1.0
394,ties to the state during the commonwealth,state,0.0
395,protestant bible societies,protestants,0.0
396,doug morris,doug morris,1.0
397,907,907,1.0
398,1974,1974,1.0
399,german,german,1.0
400,sasha fierce,sasha fierce,1.0
401,,nasara,
402,alsatian,german,0.0
403,the great majority,,0.0
404,,toilet fair,
405,the bureau of topography,topography,0.0
406,because new nucleotides are added via a dehydration reaction that uses the exposed 3' hydroxyl as a nucleophile,dehydration reaction,0.0
407,,chinook,
408,,history,
409,,1846,
410,photograph,superstorm sandy,0.0
411,,king richard i,
412,,prince albert,
413,putting an end to the french plans.,<pad>,0.0
414,in brightly colored clothes,brightly colored,0.0
415,,florence,
416,e wings of flightless birds and the rudiments of pelvis and leg bones found in some snakes,wings,0.0
417,perkin warbeck,perkin warbeck,1.0
418,the medieval and classical understanding of knowledge acquisition,classical,0.0
419,,world wide web.</s><pad>,
420,,britain and france,
421,19th-century racial ideology,racial ideology,0.0
422,"charles, marquess of rockingham",marquess of rockingham,0.0
423,union blockade,blockade,0.0
424,amoy hokkien,amoy,0.0
425,stuart hall (1932–2014) and raymond williams (1921–1988),sociologists,0.0
426,,pangaea,
427,milk famous,milk famous,1.0
428,was of a different origin than the slavonic peasants,,0.0
429,100%,100%,1.0
430,st. mary magdalene's church,,0.0
431,with din 4512:1961-10,"4512:1957-11, and the example above would be written as ""18° din"". the degree symbol was finally dropped with din 4512:1961-10",1.0
432,chinese characters,graphs,0.0
433,radiation pattern,(sensitivity,0.0
434,the degree of entered apprentice,initiated,0.0
435,teacher,"""teacher",1.0
436,50%,50%,1.0
437,,sport hunting,
438,monumental,monumental,1.0
439,"10,000 years ago",mesolithic,0.0
440,the vas deferens,testes,0.0
441,2006,2006,1.0
442,,cooling,
443,martial,martial,1.0
444,matthew flinders,matthew flinders,1.0
445,playstation portable,playstation portable,1.0
446,kleve,kleve,1.0
447,cablefax,cablefax,1.0
448,a leaky capacitor,leaky,0.0
449,,britain,
450,touch the sky,<pad>,0.0
451,the ashkelon seawater reverse osmosis,ashkelon,0.0
452,,field windings,
453,,brian howard,
454,,45%,
455,,common law,
456,acid-free,acid-free,1.0
457,"15,600","15,600",1.0
458,the american revolutionary war,american revolutionary war,0.0
459,peaceful,peaceful,1.0
460,"6,000","6,000",1.0
461,,temperatures,
462,consumer electronics retail stores,retail stores,0.0
463,,kuiper belt,
464,wildlife artwork,,0.0
465,"england, wales and northern ireland and for civil matters in scotland","england, wales and northern ireland and for civil matters in scotland. (the supreme court for criminal matters in scotland is the high court of justiciary.) the supreme court was established by the constitutional reform act 2005 with effect from 1 october 2009, replacing and assuming the judicial functions of the house of lords. devolution issues under the scotland act 1998, government of wales act and northern ireland act were also transferred to the new supreme court by the constitutional reform act, from the judicial committee of the privy council.</s><pad>",1.0
466,leopoldo méndez,leopoldo méndez,1.0
467,imperium,imperium,1.0
468,,2012–13,
469,"that when the individuals' behavior as well as their identity are analyzed, most people appeared to be at least somewhat bisexual",,0.0
470,,miracles,
471,44.1 khz,44.1 khz,1.0
472,the abomasum,abomasum,0.0
473,sicily,sicily,1.0
474,1997,1997,1.0
475,four,four,1.0
476,holy ghost church,holy ghost church,1.0
477,"memory loss,",memory loss,0.0
478,,ibm,
479,3.3,3.3,1.0
480,chemicals,chemicals,1.0
481,antelope,antelope,1.0
482,,1870,
483,barbarian,goths,0.0
484,single,single origin,1.0
485,,ten years,
486,regrows at the base,regrows,0.0
487,"""dictatorship by plebiscite.""","""dictatorship by plebiscite",0.0
488,ethiopians,ethiopians,1.0
489,allergic rhinitis and sinusitis,allergic rhinitis,0.0
490,,games,
491,epilepsy,epilepsy,1.0
492,,1954,
493,,romans,
494,,eurozone and to stabilise the money market.</s><pad>,
495,hussitism,hussitism,1.0
496,,"genomes are very complex, one research strategy is to reduce the number of genes in a genome to the bare minimum and still have the organism in question survive. there is experimental work being done on minimal genomes",
497,,gymnastics,
498,"the coastline is high and dramatic where the plateau of exmoor meets the sea, with high cliffs and waterfalls.",cliffs,0.0
499,,spying blind,
500,eritrean,eritrean railway,1.0
501,,"2012[update], pakistan's electricity problems were so severe that violent riots were taking place across punjab. according to protesters, load shedding was depriving the cities of electricity 20–22 hours a day, causing businesses to go bust and making living extremely hard. gujranwala, toba tek singh, faisalabad, sialkot, bahawalnagar and communities across khanewal district saw widespread rioting and violence on sunday 17 june 2012",
502,,netherlands,
503,swansea city,swansea city,1.0
504,,2015,
505,,scheinergrade,
506,europe,europe,1.0
507,1st and 2nd,"1st and 2nd congressional districts, based in the tri-cities and knoxville, respectively, are among the few historically republican districts in the south. those districts' residents supported the union over the confederacy during the civil war; they identified with the gop after the war and have stayed with that party ever since. the 1st has been in republican hands continuously since 1881, and republicans (or their antecedents) have held it for all but four years since 1859. the 2nd has been held continuously by republicans or their antecedents since 1859.</s><pad>",1.0
508,embankment,embankment,1.0
509,posterior analytics,posterior analytics,1.0
510,,2011,
511,,1940s,
512,subject of ongoing litigation,intermediaries,0.0
513,the international bitterness units scale,international bitterness units,0.0
514,,global warming,
515,the greek drachma,drachma,0.0
516,stanley morison,stanley morison,1.0
517,monocot,bamboo,0.0
518,common ancestor,sound shifts,0.0
519,16:9,16:9,1.0
520,roman catholic church,roman catholic church,1.0
521,in the united kingdom the teaching of chemistry in particular had fallen behind that in germany,1845,0.0
522,the swiss plateau,swiss plateau,0.0
523,,1840s,
524,,tropical weather,
525,orvieto cathedral,orvieto,0.0
526,11.8%,"5,551 (11.8%)",1.0
527,,journal,
528,the part of the forebrain that is active during migrational orientation,forebrain,0.0
529,academic computing,academic computing,1.0
530,the south end,boston,0.0
531,,comstock laws,
532,december 1921,1921,0.0
533,"""no ufos""","""no ufos",0.0
534,,john wesley,
535,,"cary. it is home to north carolina state university, meredith college, pullen park, pullen memorial baptist church, cameron village, lake johnson, the north carolina museum of art and historic saint mary's school. primary thoroughfares serving west raleigh, in addition to hillsborough street, are avent ferry road, blue ridge road, and western boulevard. the pnc arena is also located here adjacent to the north carolina state fairgrounds. these are located approximately 2 miles from rex hospital.</s><pad>",
536,,civil society,
537,attacks on government offices,attacks,0.0
538,,"surface mount components can be about one-quarter to one-tenth of the size and weight of through-hole components, and passive components much cheaper; prices of semiconductor surface mount devices (smds) are determined more by the chip itself than the package, with little price advantage over larger packages. some wire-ended components, such as 1n4148 small-signal switch diodes, are actually significantly cheaper than smd equivalents.</s><pad>",
539,,shifting,
540,,alexandria,
541,the association to advance collegiate schools of business,aacsb,0.0
542,,john quincy adams,
543,demographic changes,demographic changes,1.0
544,peasants,peasants,1.0
545,identity foreclosure,foreclosure,0.0
546,russia,russia,1.0
547,dhyani buddha amitabha,buddha amitabha,0.0
548,father of modern chemistry,antoine lavoisier,0.0
549,mobile virtual network operators,"isp, sometimes called a wholesale isp in this context, which allow the visp's customers to access the internet using services and infrastructure owned and operated by the wholesale isp. visps resemble mobile virtual network operators",1.0
550,procopius,procopius,1.0
551,,"supercarriers, displacing 75,000 tonnes or greater, have become the pinnacle of carrier development. some are powered by nuclear reactors and form the core of a fleet designed to operate far from home. amphibious assault ships, such as uss tarawa and hms ocean, serve the purpose of carrying and landing marines, and operate a large contingent of helicopters for that purpose. also known as ""commando carriers"" or ""helicopter carriers"", many have the capability to operate vstol aircraft.</s><pad>",
552,,navigate,
553,,pantheism,
554,marshallese,marshallese,1.0
555,rand,rand,1.0
556,"""pure sense perception"", unmediated by any causal or symbolic interpretation, even unconscious interpretation",causal efficacy,0.0
557,pechenegs,,0.0
558,tennessee bottoms,delta,0.0
559,,entropy. entropy is a measure of evenness of a distribution of energy,
560,,22 years,
561,,logistic,
562,tunisia,tunisia,1.0
563,1228,1228,1.0
564,€52.7million,€52.7million,1.0
565,,gothic vault,
566,,"duke university) and chapel hill (home of the university of north carolina at chapel hill). the ""triangle"" nickname originated after the 1959 creation of the research triangle park, located in durham & wake counties partway between the three cities and their universities. the research triangle region encompasses the u.s. census bureau's raleigh-durham-chapel hill combined statistical area (csa), which had an estimated population of 2,037,430",
567,arthropods,arthropods,1.0
568,if diversity is a goal of the university and their racial preferences do not discriminate,"college applicant has a right to expect that a university will design its admissions policies in a way that prizes any particular set of qualities. in this view, admission is not an honor bestowed to reward superior merit but rather a way to advance the mission as each university defines it. if diversity is a goal of the university and their racial preferences do not discriminate against applicants based on hatred or contempt, then affirmative action can be judged acceptable based on the criteria related to the mission the university sets for itself.</s><pad>",1.0
569,the crimean war,crimean war,0.0
570,perhaps the most important crossroads yet,"killing of osama bin laden ""has generated perhaps the most important crossroads",0.0
571,,cathedral,
572,animal sacrifices,animal sacrifices,1.0
573,carl linnaeus,carl linnaeus,1.0
574,palau,palau,1.0
575,tented camps,tented camps,1.0
576,education,education,1.0
577,,california,
578,state governments,state governments,1.0
579,june 1848,1848,0.0
580,,comics,
581,german,german,1.0
582,overnite transportation,overnite,0.0
583,,miami-dade county,
584,,<pad>,
585,abmigration,"""abmigration",1.0
586,liberating insight,"""liberating insight",1.0
587,1945,1945,1.0
588,ike,"dwight david ""ike",1.0
589,,united states cancer institute,
590,limit the amount of control consumers have,copyright infringement,0.0
591,,torchwood,
592,congresso nacional,(congresso nacional,1.0
593,,"catechism by s. wanradt and j. koell dating to 1535, during the protestant reformation period. an estonian grammar book",
594,unsoundness,unsoundness,1.0
