,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,context_cat,answer_start_cat,answer_pos_cat
74433,57276b96dd62a815002e9c97,Carnival,"The Carnival of Malmedy is locally called Cwarmê. Even if Malmedy is located in the east Belgium, near the German-speaking area, the Cwarmê is a pure walloon and Latin carnival. The celebration takes place during 4 days before the Shrove Tuesday. The Cwarmê Sunday is the most important and insteresting to see. All the old traditional costumes parade in the street. The Cwarmê is a ""street carnival"" and is not only a parade. People who are disguised pass through the crowd and perform a part of the traditional costume they wear. The famous traditional costumes at the Cwarmê of Malmedy are the Haguète, the Longuès-Brèsses and the Long-Né.",Where can all the traditional costumes be seen parading on the Sunday of the festival?,"{'text': array(['in the street'], dtype=object), 'answer_start': array([352], dtype=int32)}",642,in the street,352,0.5482866043613707,"(600, 700]","[150, 400)","[0.5, 1.5)"
50555,5725c76638643c19005accd7,Israel,"Since Israel's capture of these territories, Israeli settlements and military installations have been built within each of them. Israel has applied civilian law to the Golan Heights and East Jerusalem and granted their inhabitants permanent residency status and the ability to apply for citizenship. The West Bank, outside of the Israeli settlements within the territory, has remained under direct military rule, and Palestinians in this area cannot become Israeli citizens. Israel withdrew its military forces and dismantled the Israeli settlements in the Gaza Strip as part of its disengagement from Gaza though it continues to maintain control of its airspace and waters. The UN Security Council has declared the annexation of the Golan Heights and East Jerusalem to be ""null and void"" and continues to view the territories as occupied. The International Court of Justice, principal judicial organ of the United Nations, asserted, in its 2004 advisory opinion on the legality of the construction of the Israeli West Bank barrier, that the lands captured by Israel in the Six-Day War, including East Jerusalem, are occupied territory.",Where did Israel withdraw and disband its military forces?,"{'text': array(['Gaza Strip'], dtype=object), 'answer_start': array([557], dtype=int32)}",1136,Gaza Strip,557,0.4903169014084507,"(1000, 5000]","[400, 5000)","[0.25, 0.5)"
10962,56de498bcffd8e1900b4b79f,Southern_Europe,The period between 1815 and 1871 saw a large number of revolutionary attempts and independence wars. Balkan nations began to regain independence from the Ottoman Empire. Italy unified into a nation state. The capture of Rome in 1870 ended the Papal temporal power. Rivalry in a scramble for empires spread in what is known as The Age of Empire.,When were there many struggles for independence or overthrowing prevailing governments?,"{'text': array(['between 1815 and 1871'], dtype=object), 'answer_start': array([11], dtype=int32)}",344,between 1815 and 1871,11,0.03197674418604651,"(0, 600]","[0, 150)","[0.0, 0.25)"
107550,5730740e396df9190009611d,51st_state,"In the late 1940s, during the last days of the Dominion of Newfoundland (at the time a dominion-dependency in the Commonwealth and independent of Canada), there was mainstream support, although not majority, for Newfoundland to form an economic union with the United States, thanks to the efforts of the Economic Union Party and significant U.S. investment in Newfoundland stemming from the U.S.-British alliance in World War II. The movement ultimately failed when, in a 1948 referendum, voters narrowly chose to confederate with Canada (the Economic Union Party supported an independent ""responsible government"" that they would then push toward their goals).",What was the result of the 1948 referendum?,"{'text': array(['The movement ultimately failed'], dtype=object), 'answer_start': array([430], dtype=int32)}",660,The movement ultimately failed,430,0.6515151515151515,"(600, 700]","[400, 5000)","[0.5, 1.5)"
11880,56de6fea4396321400ee28c9,Heresy,"In certain historical Christian, Islamic and Jewish cultures, among others, espousing ideas deemed heretical has been and in some cases still is subjected not merely to punishments such as excommunication, but even to the death penalty.",What cultures are listed as examples of discipline for being a heretic?,"{'text': array(['Christian, Islamic and Jewish'], dtype=object), 'answer_start': array([22], dtype=int32)}",236,"Christian, Islamic and Jewish",22,0.09322033898305085,"(0, 600]","[0, 150)","[0.0, 0.25)"
20077,5acf63c777cf76001a684d27,University_of_Kansas,"The school newspaper of the University of Kansas is University Daily Kansan, which placed first in the Intercollegiate Writing Competition of the prestigious William Randolph Hearst Writing Foundation competition, often called ""The Pulitzers of College Journalism"" in 2007. In Winter 2008, a group of students created KUpedia, a wiki about all things KU. They have received student funding for operations in 2008–09. The KU Department of English publishes the Coal City Review, an annual literary journal of prose, poetry, reviews and illustrations. The Review typically features the work of many writers, but periodically spotlights one author, as in the case of 2006 Nelson Poetry Book Award-winner Voyeur Poems by Matthew Porubsky.",What low profile contest has the Daily Kansan won?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",734,,-1,-0.0013623978201634877,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
25460,56f8b80e9e9bad19000a039f,Brain,"The brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals. Only a few invertebrates such as sponges, jellyfish, adult sea squirts and starfish do not have a brain; diffuse or localised nerve nets are present instead. The brain is located in the head, usually close to the primary sensory organs for such senses as vision, hearing, balance, taste, and smell. The brain is the most complex organ in a vertebrate's body. In a typical human, the cerebral cortex (the largest part) is estimated to contain 15–33 billion neurons, each connected by synapses to several thousand other neurons. These neurons communicate with one another by means of long protoplasmic fibers called axons, which carry trains of signal pulses called action potentials to distant parts of the brain or body targeting specific recipient cells.","In people, how many neurons make up the cerebral cortex?","{'text': array(['15–33 billion'], dtype=object), 'answer_start': array([561], dtype=int32)}",874,15–33 billion,561,0.6418764302059496,"(700, 1000]","[400, 5000)","[0.5, 1.5)"
15946,56e0fe47cd28a01900c673f1,Space_Race,"On January 27, 1967, the same day the US and USSR signed the Outer Space Treaty, the crew of the first manned Apollo mission, Command Pilot Virgil ""Gus"" Grissom, Senior Pilot Edward H. White, and Pilot Roger Chaffee, were killed in a fire that swept through their spacecraft cabin during a ground test, less than a month before the planned February 21 launch. An investigative board determined the fire was probably caused by an electrical spark, and quickly grew out of control, fed by the spacecraft's pure oxygen atmosphere. Crew escape was made impossible by inability to open the plug door hatch cover against the greater-than-atmospheric internal pressure. The board also found design and construction flaws in the spacecraft, and procedural failings, including failure to appreciate the hazard of the pure-oxygen atmosphere, as well as inadequate safety procedures. All these flaws had to be corrected over the next twenty-two months until the first piloted flight could be made. Mercury and Gemini veteran Grissom had been a favored choice of Deke Slayton, NASA's Director of Flight Crew Operations, to make the first piloted landing.",The Outer Space Treaty was signed by the US and the USSR on what date?,"{'text': array(['January 27, 1967'], dtype=object), 'answer_start': array([3], dtype=int32)}",1142,"January 27, 1967",3,0.002626970227670753,"(1000, 5000]","[0, 150)","[0.0, 0.25)"
82470,5727e2e12ca10214002d98a2,Northwestern_University,"Northwestern's Evanston campus, where the undergraduate schools, the Graduate School, and the Kellogg School of Management are located, runs north-south from Lincoln Avenue to Clark Street west of Lake Michigan along Sheridan Road. North and South Campuses have noticeably different atmospheres, owing to the predominance of Science and Athletics in the one and Humanities and Arts in the other. North Campus is home to the fraternity quads, the Henry Crown Sports Pavilion and Norris Aquatics Center and other athletic facilities, the Technological Institute, Dearborn Observatory, and other science-related buildings including Patrick G. and Shirley W. Ryan Hall for Nanofabrication and Molecular Self-Assembly, and the Ford Motor Company Engineering Design Center. South Campus is home to the University's humanities buildings, Pick-Staiger Concert Hall and other music buildings, the Mary and Leigh Block Museum of Art, and the sorority quads. In the 1960s, the University created an additional 84 acres (34.0 ha) by means of a lakefill in Lake Michigan. Among some of the buildings located on these broad new acres are University Library, Norris University Center (the student union), and Pick-Staiger Concert Hall.",How did Northwestern create 84 additional acres in the 1960's?,"{'text': array(['by means of a lakefill in Lake Michigan'], dtype=object), 'answer_start': array([1018], dtype=int32)}",1220,by means of a lakefill in Lake Michigan,1018,0.8344262295081967,"(1000, 5000]","[400, 5000)","[0.5, 1.5)"
58952,572689e65951b619008f7637,Queen_(band),"During 1976, Queen played one of their most famous gigs, a free concert in Hyde Park, London. A concert organised by the entrepreneur Richard Branson, it set an attendance record with 150,000 people confirmed in the audience. On 1 December 1976, Queen were the intended guests on London's early evening Today programme, but they pulled out at the last-minute, which saw their late replacement on the show, EMI labelmate the Sex Pistols, give their seminal interview. During the A Day at the Races Tour in 1977, Queen performed sold-out shows at Madison Square Garden, New York, in February, and Earls Court, London, in June.",How many people helped Queen set a 1976 attendance record?,"{'text': array(['150,000'], dtype=object), 'answer_start': array([184], dtype=int32)}",624,"150,000",184,0.2948717948717949,"(600, 700]","[150, 400)","[0.25, 0.5)"
81593,5a6119b1e9e1cc001a33cf0a,Sahara,"During the Neolithic Era, before the onset of desertification, around 9500 BCE the central Sudan had been a rich environment supporting a large population ranging across what is now barren desert, like the Wadi el-Qa'ab. By the 5th millennium BCE, the people who inhabited what is now called Nubia, were full participants in the ""agricultural revolution"", living a settled lifestyle with domesticated plants and animals. Saharan rock art of cattle and herdsmen suggests the presence of a cattle cult like those found in Sudan and other pastoral societies in Africa today. Megaliths found at Nabta Playa are overt examples of probably the world's first known archaeoastronomy devices, predating Stonehenge by some 2,000 years. This complexity, as observed at Nabta Playa, and as expressed by different levels of authority within the society there, likely formed the basis for the structure of both the Neolithic society at Nabta and the Old Kingdom of Egypt.",When was Stonehenge created?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",957,,-1,-0.0010449320794148381,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
71612,57271234f1498d1400e8f320,History_of_science,"Medicine: Findings from Neolithic graveyards in what is now Pakistan show evidence of proto-dentistry among an early farming culture. Ayurveda is a system of traditional medicine that originated in ancient India before 2500 BC, and is now practiced as a form of alternative medicine in other parts of the world. Its most famous text is the Suśrutasamhitā of Suśruta, which is notable for describing procedures on various forms of surgery, including rhinoplasty, the repair of torn ear lobes, perineal lithotomy, cataract surgery, and several other excisions and other surgical procedures.",What kind of medicine was practiced in India before 2500 BC?,"{'text': array(['Ayurveda'], dtype=object), 'answer_start': array([134], dtype=int32)}",588,Ayurveda,134,0.22789115646258504,"(0, 600]","[0, 150)","[0.0, 0.25)"
110170,572fce1404bcaa1900d76d68,Armenia,"Agriculture accounted for less than 20% of both net material product and total employment before the dissolution of the Soviet Union in 1991. After independence, the importance of agriculture in the economy increased markedly, its share at the end of the 1990s rising to more than 30% of GDP and more than 40% of total employment. This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s. As the economic situation stabilized and growth resumed, the share of agriculture in GDP dropped to slightly over 20% (2006 data), although the share of agriculture in employment remained more than 40%.",Was agriculture more important before or after Armenia left the Soviet Union?,"{'text': array(['After'], dtype=object), 'answer_start': array([142], dtype=int32)}",787,After,142,0.18043202033036848,"(700, 1000]","[0, 150)","[0.0, 0.25)"
115045,5ad3d949604f3c001a3ff39b,Alfred_North_Whitehead,"Historically Whitehead's work has been most influential in the field of American progressive theology. The most important early proponent of Whitehead's thought in a theological context was Charles Hartshorne, who spent a semester at Harvard as Whitehead's teaching assistant in 1925, and is widely credited with developing Whitehead's process philosophy into a full-blown process theology. Other notable process theologians include John B. Cobb, Jr., David Ray Griffin, Marjorie Hewitt Suchocki, C. Robert Mesle, Roland Faber, and Catherine Keller.",In what field of study has Whitehead's work been less influential in the United States?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",549,,-1,-0.0018214936247723133,"(0, 600]","[-1, 0)","[-0.25, 0.0)"
28362,56fdf66f761e401900d28c63,Computer,"The sequence of operations that the control unit goes through to process an instruction is in itself like a short computer program, and indeed, in some more complex CPU designs, there is another yet smaller computer called a microsequencer, which runs a microcode program that causes all of these events to happen.",In some CPU designs there is tinier computer called what?,"{'text': array(['microsequencer'], dtype=object), 'answer_start': array([225], dtype=int32)}",314,microsequencer,225,0.7165605095541401,"(0, 600]","[150, 400)","[0.5, 1.5)"
82958,5acd62c407355d001abf4039,Strasbourg,"Following the defeat of the German empire in World War I and the abdication of the German Emperor, some revolutionary insurgents declared Alsace-Lorraine as an independent Republic, without preliminary referendum or vote. On 11 November 1918 (Armistice Day), communist insurgents proclaimed a ""soviet government"" in Strasbourg, following the example of Kurt Eisner in Munich as well as other German towns. French troops commanded by French general Henri Gouraud entered triumphantly in the city on 22 November. A major street of the city now bears the name of that date (Rue du 22 Novembre) which celebrates the entry of the French in the city. Viewing the massive cheering crowd gathered under the balcony of Strasbourg's town hall, French President Raymond Poincaré stated that ""the plebiscite is done"".",What nationality was under Soviet rule in 1918?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",805,,-1,-0.0012422360248447205,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
33384,5acd7ecf07355d001abf446c,Beer," The strength of beers has climbed during the later years of the 20th century. Vetter 33, a 10.5% abv (33 degrees Plato, hence Vetter ""33"") doppelbock, was listed in the 1994 Guinness Book of World Records as the strongest beer at that time, though Samichlaus, by the Swiss brewer Hürlimann, had also been listed by the Guinness Book of World Records as the strongest at 14% abv. Since then, some brewers have used champagne yeasts to increase the alcohol content of their beers. Samuel Adams reached 20% abv with Millennium, and then surpassed that amount to 25.6% abv with Utopias. The strongest beer brewed in Britain was Baz's Super Brew by Parish Brewery, a 23% abv beer. In September 2011, the Scottish brewery BrewDog produced Ghost Deer, which, at 28%, they claim to be the world's strongest beer produced by fermentation alone.",What beer has a 10.5% volume by alcohol? ,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",836,,-1,-0.0011961722488038277,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
116983,5a42af184a4859001aac729e,Super_Nintendo_Entertainment_System,"While other companies were moving on to 32-bit systems, Rare and Nintendo proved that the SNES was still a strong contender in the market. In November 1994, Rare released Donkey Kong Country, a platform game featuring 3D models and textures pre-rendered on SGI workstations. With its detailed graphics, fluid animation and high-quality music, Donkey Kong Country rivaled the aesthetic quality of games that were being released on newer 32-bit CD-based consoles. In the last 45 days of 1994, the game sold 6.1 million units, making it the fastest-selling video game in history to that date. This game sent a message that early 32-bit systems had little to offer over the SNES, and helped make way for the more advanced consoles on the horizon.",When did Nintendo release Donkey Kong Country?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",742,,-1,-0.0013477088948787063,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
24079,56f82cb7aef2371900625eab,Szlachta,"About that time the ""executionist movement"" (Polish: ""egzekucja praw""--""execution of the laws"") began to take form. Its members would seek to curb the power of the magnates at the Sejm and to strengthen the power of king and country. In 1562 at the Sejm in Piotrków they would force the magnates to return many leased crown lands to the king, and the king to create a standing army (wojsko kwarciane). One of the most famous members of this movement was Jan Zamoyski. After his death in 1605, the movement lost its political force.",What happened when Jan Zamoyski died?,"{'text': array(['movement lost its political force.'], dtype=object), 'answer_start': array([497], dtype=int32)}",531,movement lost its political force.,497,0.935969868173258,"(0, 600]","[400, 5000)","[0.5, 1.5)"
119573,573217840fdd8d15006c6786,Bird,"Since birds are highly visible and common animals, humans have had a relationship with them since the dawn of man. Sometimes, these relationships are mutualistic, like the cooperative honey-gathering among honeyguides and African peoples such as the Borana. Other times, they may be commensal, as when species such as the house sparrow have benefited from human activities. Several bird species have become commercially significant agricultural pests, and some pose an aviation hazard. Human activities can also be detrimental, and have threatened numerous bird species with extinction (hunting, avian lead poisoning, pesticides, roadkill, and predation by pet cats and dogs are common sources of death for birds).",What is it called when the house sparrow has benefited from human activity?,"{'text': array(['commensal'], dtype=object), 'answer_start': array([283], dtype=int32)}",714,commensal,283,0.3963585434173669,"(700, 1000]","[150, 400)","[0.25, 0.5)"
89331,5728cbb5ff5b5019007da6c9,Estonia,"Modern Estonia is a fairly ethnically heterogeneous country, but this heterogeneity is not a feature of much of the country as the non-Estonian population is concentrated in two of Estonia's counties. Thirteen of Estonia's 15 counties are over 80% ethnic Estonian, the most homogeneous being Hiiumaa, where Estonians account for 98.4% of the population. In the counties of Harju (including the capital city, Tallinn) and Ida-Viru, however, ethnic Estonians make up 60% and 20% of the population, respectively. Russians make up 25.6% of the total population but account for 36% of the population in Harju county and 70% of the population in Ida-Viru county.",What percentage accounts for the total number people living in Hiiumaa that are ethnic Estonians?,"{'text': array(['98.4%'], dtype=object), 'answer_start': array([329], dtype=int32)}",656,98.4%,329,0.5015243902439024,"(600, 700]","[150, 400)","[0.5, 1.5)"
65004,5acfc9dc77cf76001a685fc5,Cubism,"In addition to Seurat, the roots of cubism are to be found in the two distinct tendencies of Cézanne's later work: first his breaking of the painted surface into small multifaceted areas of paint, thereby emphasizing the plural viewpoint given by binocular vision, and second his interest in the simplification of natural forms into cylinders, spheres, and cones. However, the cubists explored this concept further than Cézanne. They represented all the surfaces of depicted objects in a single picture plane, as if the objects had all their faces visible at the same time. This new kind of depiction revolutionized the way objects could be visualized in painting and art.",Cubists exploration of the concept of the simplification of forms into cones cylinders and spheres was further not explored by whom?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",672,,-1,-0.001488095238095238,"(600, 700]","[-1, 0)","[-0.25, 0.0)"
89165,5728aaa53acd2414000dfc6e,Estonia,"As a result of the abolition of serfdom and the availability of education to the native Estonian-speaking population, an active Estonian nationalist movement developed in the 19th century.[citation needed] It began on a cultural level, resulting in the establishment of Estonian language literature, theatre and professional music and led on to the formation of the Estonian national identity and the Age of Awakening. Among the leaders of the movement were Johann Voldemar Jannsen, Jakob Hurt and Carl Robert Jakobson.",Who were the leaders of the Age of Awakening?,"{'text': array(['Johann Voldemar Jannsen, Jakob Hurt and Carl Robert Jakobson.'],
      dtype=object), 'answer_start': array([458], dtype=int32)}",519,"Johann Voldemar Jannsen, Jakob Hurt and Carl Robert Jakobson.",458,0.882466281310212,"(0, 600]","[400, 5000)","[0.5, 1.5)"
93947,5a3e90275a76c5001a3a834d,Palermo,"During 734 BC the Phoenicians, a sea trading people from the north of ancient Canaan, built a small settlement on the natural harbor of Palermo. Some sources suggest they named the settlement ""Ziz."" It became one of the three main Phoenician colonies of Sicily, along with Motya and Soluntum. However, the remains of the Phoenician presence in the city are few and mostly preserved in the very populated center of the downtown area, making any excavation efforts costly and logistically difficult. The site chosen by the Phoenicians made it easy to connect the port to the mountains with a straight road that today has become Corso Calatifimi. This road helped the Phoenicians in trading with the populations that lived beyond the mountains that surround the gulf.",What road helped the Phoenicians trade with the Arabs?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",764,,-1,-0.0013089005235602095,"(700, 1000]","[-1, 0)","[-0.25, 0.0)"
104043,572edaa1dfa6aa1500f8d465,Spanish_language_in_the_United_States,"Because of its relative isolation from other Spanish-speaking areas over most of its 400-year existence, New Mexico Spanish, and in particular the Spanish of northern New Mexico and Colorado has retained many elements of 16th- and 17th-century Spanish and has developed its own vocabulary. In addition, it contains many words from Nahuatl, the language spoken by the ancient Aztecs of Mexico. New Mexican Spanish also contains loan words from the Pueblo languages of the upper Rio Grande Valley, Mexican-Spanish words (mexicanismos), and borrowings from English. Grammatical changes include the loss of the second person verb form, changes in verb endings, particularly in the preterite, and partial merging of the second and third conjugations.",Does New Mexico also use language from the  American language when spoken in Spanish?,"{'text': array(['borrowings from English. Grammatical changes include the loss of the second person verb form, changes in verb endings'],
      dtype=object), 'answer_start': array([538], dtype=int32)}",745,"borrowings from English. Grammatical changes include the loss of the second person verb form, changes in verb endings",538,0.7221476510067114,"(700, 1000]","[400, 5000)","[0.5, 1.5)"
109876,5734338bd058e614000b6b0b,"Tucson,_Arizona","The monsoon can begin any time from mid-June to late July, with an average start date around July 3. It typically continues through August and sometimes into September. During the monsoon, the humidity is much higher than the rest of the year. It begins with clouds building up from the south in the early afternoon followed by intense thunderstorms and rainfall, which can cause flash floods. The evening sky at this time of year is often pierced with dramatic lightning strikes. Large areas of the city do not have storm sewers, so monsoon rains flood the main thoroughfares, usually for no longer than a few hours. A few underpasses in Tucson have ""feet of water"" scales painted on their supports to discourage fording by automobiles during a rainstorm. Arizona traffic code Title 28-910, the so-called ""Stupid Motorist Law"", was instituted in 1995 to discourage people from entering flooded roadways. If the road is flooded and a barricade is in place, motorists who drive around the barricade can be charged up to $2000 for costs involved in rescuing them. Despite all warnings and precautions, however, three Tucson drivers have drowned between 2004 and 2010.",When does Tucson's monsoon usually start?,"{'text': array(['around July 3'], dtype=object), 'answer_start': array([86], dtype=int32)}",1165,around July 3,86,0.07381974248927038,"(1000, 5000]","[0, 150)","[0.0, 0.25)"
62700,5726893c5951b619008f7627,The_Sun_(United_Kingdom),"The Sun, during the Miners' strike of 1984–85, supported the police and the Thatcher government against the striking NUM miners, and in particular the union's president, Arthur Scargill. On 23 May 1984, The Sun prepared a front page with the headline ""Mine Führer"" and a photograph of Scargill with his arm in the air, a pose which made him look as though he was giving a Nazi salute. The print workers at The Sun refused to print it. The Sun strongly supported the April 1986 bombing of Libya by the US, which was launched from British bases. Several civilians were killed during the bombing. Their leader was ""Right Ron, Right Maggie"". That year, Labour MP Clare Short attempted in vain to persuade Parliament to outlaw the pictures on Page Three and gained opprobrium from the newspaper for her stand.",What did a picture of Scargill have him appear to be doing?,"{'text': array(['giving a Nazi salute'], dtype=object), 'answer_start': array([363], dtype=int32)}",804,giving a Nazi salute,363,0.45149253731343286,"(700, 1000]","[150, 400)","[0.25, 0.5)"
